[58 99 43 37 43]
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 2 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_2 BS: solve in 0 episode
DeepSea_2 BS: solve in 0 episode
DeepSea_2 BS: solve in 9 episode
DeepSea_2 BS: solve in 8 episode
DeepSea_2 BS: solve in 5 episode
DeepSea_3 BS: solve in 0 episode
DeepSea_3 BS: solve in 44 episode
DeepSea_3 BS: solve in 66 episode
DeepSea_3 BS: solve in 17 episode
DeepSea_3 BS: solve in 237 episode
DeepSea_4 BS: solve in 0 episode
DeepSea_4 BS: solve in 48 episode
DeepSea_4 BS: solve in 77 episode
DeepSea_4 BS: solve in 29 episode
DeepSea_4 BS: solve in 76 episode
DeepSea_5 BS: solve in 84 episode
DeepSea_5 BS: solve in 503 episode
DeepSea_5 BS: solve in 50 episode
DeepSea_5 BS: solve in 46 episode
DeepSea_5 BS: solve in 38 episode
DeepSea_6 BS: solve in 238 episode
DeepSea_6 BS: solve in 526 episode
DeepSea_6 BS: solve in 163 episode
DeepSea_6 BS: solve in 40 episode
DeepSea_6 BS: solve in 231 episode
DeepSea_7 BS: solve in 288 episode
DeepSea_7 BS: solve in 471 episode
DeepSea_7 BS: solve in 541 episode
DeepSea_7 BS: solve in 185 episode
DeepSea_7 BS: solve in 205 episode
DeepSea_8 BS: solve in 286 episode
DeepSea_8 BS: solve in 509 episode
DeepSea_8 BS: solve in 69 episode
DeepSea_8 BS: solve in 337 episode
DeepSea_8 BS: solve in 33 episode
DeepSea_9 BS: solve in 347 episode
DeepSea_9 BS: solve in 554 episode
DeepSea_9 BS: solve in 256 episode
DeepSea_9 BS: solve in 530 episode
DeepSea_9 BS: solve in 339 episode
DeepSea_10 BS: solve in 422 episode
DeepSea_10 BS: solve in 626 episode
DeepSea_10 BS: solve in 470 episode
DeepSea_10 BS: solve in 912 episode
DeepSea_10 BS: solve in 446 episode
DeepSea_11 BS: solve in 348 episode
DeepSea_11 BS: solve in 476 episode
DeepSea_11 BS: solve in 1268 episode
DeepSea_11 BS: solve in 1065 episode
DeepSea_11 BS: solve in 1024 episode
DeepSea_12 BS: solve in 540 episode
DeepSea_12 BS: solve in 966 episode
DeepSea_12 BS: solve in 1803 episode
DeepSea_12 BS: solve in 427 episode
DeepSea_12 BS: solve in 1989 episode
DeepSea_13 BS: solve in 700 episode
DeepSea_13 BS: solve in 807 episode
DeepSea_13 BS: solve in 2208 episode
DeepSea_13 BS: solve in 935 episode
DeepSea_13 BS: solve in 4999 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_2 BSP: solve in 3 episode
DeepSea_2 BSP: solve in 51 episode
DeepSea_2 BSP: solve in 56 episode
DeepSea_2 BSP: solve in 13 episode
DeepSea_2 BSP: solve in 0 episode
DeepSea_3 BSP: solve in 2 episode
DeepSea_3 BSP: solve in 310 episode
DeepSea_3 BSP: solve in 69 episode
DeepSea_3 BSP: solve in 7 episode
DeepSea_3 BSP: solve in 96 episode
DeepSea_4 BSP: solve in 1 episode
DeepSea_4 BSP: solve in 370 episode
DeepSea_4 BSP: solve in 59 episode
DeepSea_4 BSP: solve in 100 episode
DeepSea_4 BSP: solve in 86 episode
DeepSea_5 BSP: solve in 53 episode
DeepSea_5 BSP: solve in 178 episode
DeepSea_5 BSP: solve in 98 episode
DeepSea_5 BSP: solve in 80 episode
DeepSea_5 BSP: solve in 64 episode
DeepSea_6 BSP: solve in 349 episode
DeepSea_6 BSP: solve in 197 episode
DeepSea_6 BSP: solve in 119 episode
DeepSea_6 BSP: solve in 93 episode
DeepSea_6 BSP: solve in 180 episode
DeepSea_7 BSP: solve in 158 episode
DeepSea_7 BSP: solve in 359 episode
DeepSea_7 BSP: solve in 349 episode
DeepSea_7 BSP: solve in 178 episode
DeepSea_7 BSP: solve in 131 episode
DeepSea_8 BSP: solve in 327 episode
DeepSea_8 BSP: solve in 455 episode
DeepSea_8 BSP: solve in 113 episode
DeepSea_8 BSP: solve in 421 episode
DeepSea_8 BSP: solve in 385 episode
DeepSea_9 BSP: solve in 78 episode
DeepSea_9 BSP: solve in 451 episode
DeepSea_9 BSP: solve in 307 episode
DeepSea_9 BSP: solve in 444 episode
DeepSea_9 BSP: solve in 236 episode
DeepSea_10 BSP: solve in 452 episode
