[58, 99, 43, 37, 43]
DeepSea_1 BS: solve in 4 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 2 episode
DeepSea_1 BS: solve in 1 episode
DeepSea_1 BS: solve in 1 episode
DeepSea_2 BS: solve in 2 episode
DeepSea_2 BS: solve in 5 episode
DeepSea_2 BS: solve in 3 episode
DeepSea_2 BS: solve in 1 episode
DeepSea_2 BS: solve in 1 episode
DeepSea_3 BS: solve in 12 episode
DeepSea_3 BS: solve in 30 episode
DeepSea_3 BS: solve in 1 episode
DeepSea_3 BS: solve in 1 episode
DeepSea_3 BS: solve in 0 episode
DeepSea_4 BS: solve in 6 episode
DeepSea_4 BS: solve in 0 episode
DeepSea_4 BS: solve in 7 episode
DeepSea_4 BS: solve in 62 episode
DeepSea_4 BS: solve in 33 episode
DeepSea_5 BS: solve in 0 episode
DeepSea_5 BS: solve in 0 episode
DeepSea_5 BS: solve in 50 episode
DeepSea_5 BS: solve in 69 episode
DeepSea_5 BS: solve in 57 episode
DeepSea_6 BS: solve in 26 episode
DeepSea_6 BS: solve in 19 episode
DeepSea_6 BS: solve in 26 episode
DeepSea_6 BS: solve in 110 episode
DeepSea_6 BS: solve in 162 episode
DeepSea_7 BS: solve in 186 episode
DeepSea_7 BS: solve in 199 episode
DeepSea_7 BS: solve in 5 episode
DeepSea_7 BS: solve in 105 episode
DeepSea_7 BS: solve in 55 episode
DeepSea_8 BS: solve in 159 episode
DeepSea_8 BS: solve in 71 episode
DeepSea_8 BS: solve in 158 episode
DeepSea_8 BS: solve in 261 episode
DeepSea_8 BS: solve in 177 episode
DeepSea_9 BS: solve in 105 episode
DeepSea_9 BS: solve in 335 episode
DeepSea_9 BS: solve in 209 episode
DeepSea_9 BS: solve in 113 episode
DeepSea_9 BS: solve in 132 episode
DeepSea_10 BS: solve in 1129 episode
DeepSea_10 BS: solve in 559 episode
DeepSea_10 BS: solve in 474 episode
DeepSea_10 BS: solve in 132 episode
DeepSea_10 BS: solve in 140 episode
DeepSea_11 BS: solve in 1396 episode
DeepSea_11 BS: solve in 1310 episode
DeepSea_11 BS: solve in 1352 episode
DeepSea_11 BS: solve in 423 episode
DeepSea_11 BS: solve in 1252 episode
DeepSea_12 BS: solve in 2485 episode
DeepSea_12 BS: solve in 1850 episode
DeepSea_12 BS: solve in 798 episode
DeepSea_12 BS: solve in 469 episode
DeepSea_12 BS: solve in 736 episode
DeepSea_13 BS: solve in 955 episode
DeepSea_13 BS: solve in 4999 episode
DeepSea_13 BS: solve in 4999 episode
DeepSea_13 BS: solve in 2823 episode
DeepSea_13 BS: solve in 786 episode
DeepSea_1 BSP: solve in 1 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 1 episode
DeepSea_1 BSP: solve in 2 episode
DeepSea_2 BSP: solve in 6 episode
DeepSea_2 BSP: solve in 1 episode
DeepSea_2 BSP: solve in 1 episode
DeepSea_2 BSP: solve in 0 episode
DeepSea_2 BSP: solve in 0 episode
DeepSea_3 BSP: solve in 24 episode
