[58, 99, 43, 37, 43]
DeepSea_1 BS: solve in 3 episode
DeepSea_1 BS: solve in 1 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 6 episode
DeepSea_1 BS: solve in 1 episode
DeepSea_2 BS: solve in 2 episode
DeepSea_2 BS: solve in 16 episode
DeepSea_2 BS: solve in 4 episode
DeepSea_2 BS: solve in 3 episode
DeepSea_2 BS: solve in 12 episode
DeepSea_3 BS: solve in 7 episode
DeepSea_3 BS: solve in 97 episode
DeepSea_3 BS: solve in 72 episode
DeepSea_3 BS: solve in 9 episode
DeepSea_3 BS: solve in 63 episode
DeepSea_4 BS: solve in 2 episode
DeepSea_4 BS: solve in 84 episode
DeepSea_4 BS: solve in 70 episode
DeepSea_4 BS: solve in 89 episode
DeepSea_4 BS: solve in 67 episode
DeepSea_5 BS: solve in 91 episode
DeepSea_5 BS: solve in 309 episode
DeepSea_5 BS: solve in 108 episode
DeepSea_5 BS: solve in 85 episode
DeepSea_5 BS: solve in 87 episode
DeepSea_6 BS: solve in 476 episode
DeepSea_6 BS: solve in 251 episode
DeepSea_6 BS: solve in 138 episode
DeepSea_6 BS: solve in 141 episode
DeepSea_6 BS: solve in 195 episode
DeepSea_7 BS: solve in 705 episode
DeepSea_7 BS: solve in 280 episode
DeepSea_7 BS: solve in 109 episode
DeepSea_7 BS: solve in 223 episode
DeepSea_7 BS: solve in 106 episode
DeepSea_8 BS: solve in 135 episode
DeepSea_8 BS: solve in 409 episode
DeepSea_8 BS: solve in 163 episode
DeepSea_8 BS: solve in 650 episode
DeepSea_8 BS: solve in 237 episode
DeepSea_9 BS: solve in 1002 episode
DeepSea_9 BS: solve in 3151 episode
DeepSea_9 BS: solve in 487 episode
DeepSea_9 BS: solve in 4999 episode
DeepSea_9 BS: solve in 304 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_2 BSP: solve in 0 episode
DeepSea_2 BSP: solve in 2 episode
DeepSea_2 BSP: solve in 1 episode
DeepSea_2 BSP: solve in 2 episode
DeepSea_2 BSP: solve in 0 episode
DeepSea_3 BSP: solve in 0 episode
DeepSea_3 BSP: solve in 37 episode
DeepSea_3 BSP: solve in 86 episode
DeepSea_3 BSP: solve in 1 episode
DeepSea_3 BSP: solve in 77 episode
DeepSea_4 BSP: solve in 0 episode
DeepSea_4 BSP: solve in 108 episode
DeepSea_4 BSP: solve in 0 episode
DeepSea_4 BSP: solve in 58 episode
DeepSea_4 BSP: solve in 44 episode
DeepSea_5 BSP: solve in 27 episode
DeepSea_5 BSP: solve in 204 episode
