[58, 99, 43, 37, 43]
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 0 episode
DeepSea_1 BS: solve in 1 episode
DeepSea_1 BS: solve in 2 episode
DeepSea_1 BS: solve in 3 episode
DeepSea_2 BS: solve in 0 episode
DeepSea_2 BS: solve in 47 episode
DeepSea_2 BS: solve in 9 episode
DeepSea_2 BS: solve in 1 episode
DeepSea_2 BS: solve in 53 episode
DeepSea_3 BS: solve in 0 episode
DeepSea_3 BS: solve in 75 episode
DeepSea_3 BS: solve in 77 episode
DeepSea_3 BS: solve in 2 episode
DeepSea_3 BS: solve in 59 episode
DeepSea_4 BS: solve in 3 episode
DeepSea_4 BS: solve in 772 episode
DeepSea_4 BS: solve in 62 episode
DeepSea_4 BS: solve in 70 episode
DeepSea_4 BS: solve in 161 episode
DeepSea_5 BS: solve in 50 episode
DeepSea_5 BS: solve in 142 episode
DeepSea_5 BS: solve in 130 episode
DeepSea_5 BS: solve in 108 episode
DeepSea_5 BS: solve in 51 episode
DeepSea_6 BS: solve in 1200 episode
DeepSea_6 BS: solve in 1062 episode
DeepSea_6 BS: solve in 155 episode
DeepSea_6 BS: solve in 10 episode
DeepSea_6 BS: solve in 237 episode
DeepSea_7 BS: solve in 108 episode
DeepSea_7 BS: solve in 1813 episode
DeepSea_7 BS: solve in 186 episode
DeepSea_7 BS: solve in 573 episode
DeepSea_7 BS: solve in 193 episode
DeepSea_8 BS: solve in 307 episode
DeepSea_8 BS: solve in 2165 episode
DeepSea_8 BS: solve in 260 episode
DeepSea_8 BS: solve in 1631 episode
DeepSea_8 BS: solve in 245 episode
DeepSea_9 BS: solve in 1798 episode
DeepSea_9 BS: solve in 2946 episode
DeepSea_9 BS: solve in 836 episode
DeepSea_9 BS: solve in 1429 episode
DeepSea_9 BS: solve in 1519 episode
DeepSea_10 BS: solve in 2955 episode
DeepSea_10 BS: solve in 4999 episode
DeepSea_10 BS: solve in 1707 episode
DeepSea_10 BS: solve in 4999 episode
DeepSea_10 BS: solve in 1360 episode
DeepSea_1 BSP: solve in 1 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 0 episode
DeepSea_1 BSP: solve in 1 episode
DeepSea_1 BSP: solve in 2 episode
DeepSea_2 BSP: solve in 1 episode
DeepSea_2 BSP: solve in 43 episode
DeepSea_2 BSP: solve in 61 episode
DeepSea_2 BSP: solve in 51 episode
DeepSea_2 BSP: solve in 20 episode
DeepSea_3 BSP: solve in 1 episode
DeepSea_3 BSP: solve in 75 episode
DeepSea_3 BSP: solve in 56 episode
DeepSea_3 BSP: solve in 5 episode
DeepSea_3 BSP: solve in 49 episode
DeepSea_4 BSP: solve in 0 episode
DeepSea_4 BSP: solve in 222 episode
DeepSea_4 BSP: solve in 78 episode
DeepSea_4 BSP: solve in 41 episode
DeepSea_4 BSP: solve in 48 episode
DeepSea_5 BSP: solve in 61 episode
DeepSea_5 BSP: solve in 778 episode
DeepSea_5 BSP: solve in 67 episode
DeepSea_5 BSP: solve in 97 episode
DeepSea_5 BSP: solve in 88 episode
DeepSea_6 BSP: solve in 409 episode
DeepSea_6 BSP: solve in 461 episode
DeepSea_6 BSP: solve in 345 episode
DeepSea_6 BSP: solve in 54 episode
DeepSea_6 BSP: solve in 284 episode
DeepSea_7 BSP: solve in 1651 episode
DeepSea_7 BSP: solve in 975 episode
DeepSea_7 BSP: solve in 710 episode
DeepSea_7 BSP: solve in 146 episode
DeepSea_7 BSP: solve in 350 episode
DeepSea_8 BSP: solve in 465 episode
DeepSea_8 BSP: solve in 1096 episode
DeepSea_8 BSP: solve in 163 episode
DeepSea_8 BSP: solve in 2516 episode
DeepSea_8 BSP: solve in 504 episode
DeepSea_9 BSP: solve in 2313 episode
DeepSea_9 BSP: solve in 2796 episode
DeepSea_9 BSP: solve in 384 episode
DeepSea_9 BSP: solve in 509 episode
DeepSea_9 BSP: solve in 495 episode
DeepSea_10 BSP: solve in 4999 episode
DeepSea_10 BSP: solve in 2722 episode
DeepSea_10 BSP: solve in 2441 episode
DeepSea_10 BSP: solve in 4999 episode
DeepSea_10 BSP: solve in 2784 episode
DeepSea_1 BSDP: solve in 0 episode
DeepSea_1 BSDP: solve in 7 episode
DeepSea_1 BSDP: solve in 0 episode
DeepSea_1 BSDP: solve in 1 episode
DeepSea_1 BSDP: solve in 0 episode
DeepSea_2 BSDP: solve in 3 episode
DeepSea_2 BSDP: solve in 0 episode
DeepSea_2 BSDP: solve in 48 episode
