12:16:24,238  0, step: 14, E: 0.21428571428571427, Total_steps: 14
12:16:24,240  1, step: 17, E: 0.23529411764705882, Total_steps: 31
12:16:24,244  2, step: 41, E: 0.36585365853658536, Total_steps: 72
12:16:24,247  3, step: 25, E: 0.32, Total_steps: 97
12:16:24,249  4, step: 20, E: 0.35, Total_steps: 117
12:16:24,253  5, step: 22, E: 0.45454545454545453, Total_steps: 139
12:16:24,261  6, step: 59, E: 0.3559322033898305, Total_steps: 198
12:16:24,263  7, step: 20, E: 0.25, Total_steps: 218
12:16:24,267  8, step: 17, E: 0.23529411764705882, Total_steps: 235
12:16:24,270  9, step: 19, E: 0.10526315789473684, Total_steps: 254
12:16:24,289  10, step: 33, E: 0.2727272727272727, Total_steps: 287
12:16:24,352  11, step: 15, E: 0.13333333333333333, Total_steps: 302
12:16:24,397  12, step: 10, E: 0.3, Total_steps: 312
12:16:24,429  13, step: 12, E: 0.16666666666666666, Total_steps: 324
12:16:24,453  14, step: 11, E: 0.18181818181818182, Total_steps: 335
12:16:24,503  15, step: 12, E: 0.25, Total_steps: 347
12:16:24,526  16, step: 10, E: 0.2, Total_steps: 357
12:16:24,548  17, step: 9, E: 0.2222222222222222, Total_steps: 366
12:16:24,587  18, step: 9, E: 0.2222222222222222, Total_steps: 375
12:16:24,621  19, step: 13, E: 0.3076923076923077, Total_steps: 388
12:16:24,674  20, step: 12, E: 0.16666666666666666, Total_steps: 400
12:16:24,741  21, step: 16, E: 0.3125, Total_steps: 416
12:16:24,790  22, step: 10, E: 0.0, Total_steps: 426
12:16:24,870  23, step: 11, E: 0.09090909090909091, Total_steps: 437
12:16:25,5  24, step: 39, E: 0.358974358974359, Total_steps: 476
12:16:25,28  25, step: 9, E: 0.0, Total_steps: 485
12:16:25,57  26, step: 13, E: 0.07692307692307693, Total_steps: 498
12:16:25,105  27, step: 18, E: 0.2222222222222222, Total_steps: 516
12:16:25,155  28, step: 10, E: 0.1, Total_steps: 526
12:16:25,185  29, step: 14, E: 0.2857142857142857, Total_steps: 540
12:16:25,248  30, step: 11, E: 0.2727272727272727, Total_steps: 551
12:16:25,300  31, step: 12, E: 0.3333333333333333, Total_steps: 563
12:16:25,343  32, step: 10, E: 0.1, Total_steps: 573
12:16:25,369  33, step: 10, E: 0.1, Total_steps: 583
12:16:25,397  34, step: 11, E: 0.09090909090909091, Total_steps: 594
12:16:25,456  35, step: 9, E: 0.0, Total_steps: 603
12:16:25,487  36, step: 13, E: 0.15384615384615385, Total_steps: 616
12:16:25,524  37, step: 12, E: 0.16666666666666666, Total_steps: 628
12:16:25,560  38, step: 9, E: 0.2222222222222222, Total_steps: 637
12:16:25,597  39, step: 12, E: 0.16666666666666666, Total_steps: 649
12:16:25,648  40, step: 12, E: 0.16666666666666666, Total_steps: 661
12:16:25,688  41, step: 10, E: 0.1, Total_steps: 671
12:16:25,716  42, step: 10, E: 0.1, Total_steps: 681
12:16:25,745  43, step: 11, E: 0.09090909090909091, Total_steps: 692
12:16:25,772  44, step: 9, E: 0.1111111111111111, Total_steps: 701
12:16:25,804  45, step: 11, E: 0.09090909090909091, Total_steps: 712
12:16:25,836  46, step: 10, E: 0.1, Total_steps: 722
12:16:25,855  47, step: 9, E: 0.1111111111111111, Total_steps: 731
12:16:25,892  48, step: 10, E: 0.0, Total_steps: 741
12:16:25,951  49, step: 11, E: 0.2727272727272727, Total_steps: 752
12:16:26,4  50, step: 9, E: 0.0, Total_steps: 761
12:16:26,51  51, step: 11, E: 0.18181818181818182, Total_steps: 772
12:16:26,83  52, step: 14, E: 0.21428571428571427, Total_steps: 786
12:16:26,139  53, step: 9, E: 0.0, Total_steps: 795
12:16:26,165  54, step: 10, E: 0.4, Total_steps: 805
12:16:26,188  55, step: 10, E: 0.0, Total_steps: 815
12:16:26,231  56, step: 8, E: 0.0, Total_steps: 823
12:16:26,254  57, step: 10, E: 0.1, Total_steps: 833
12:16:26,292  58, step: 14, E: 0.21428571428571427, Total_steps: 847
12:16:26,313  59, step: 9, E: 0.0, Total_steps: 856
12:16:26,349  60, step: 12, E: 0.08333333333333333, Total_steps: 868
12:16:26,405  61, step: 11, E: 0.09090909090909091, Total_steps: 879
12:16:26,440  62, step: 10, E: 0.2, Total_steps: 889
12:16:26,504  63, step: 14, E: 0.14285714285714285, Total_steps: 903
12:16:26,529  64, step: 11, E: 0.18181818181818182, Total_steps: 914
12:16:26,566  65, step: 13, E: 0.15384615384615385, Total_steps: 927
12:16:26,594  66, step: 10, E: 0.0, Total_steps: 937
12:16:26,643  67, step: 12, E: 0.08333333333333333, Total_steps: 949
12:16:26,669  68, step: 11, E: 0.0, Total_steps: 960
12:16:26,702  69, step: 14, E: 0.21428571428571427, Total_steps: 974
12:16:26,730  70, step: 9, E: 0.0, Total_steps: 983
12:16:26,769  71, step: 10, E: 0.0, Total_steps: 993
12:16:26,839  72, step: 9, E: 0.0, Total_steps: 1002
12:16:26,876  73, step: 10, E: 0.0, Total_steps: 1012
12:16:26,952  74, step: 12, E: 0.16666666666666666, Total_steps: 1024
12:16:26,985  75, step: 11, E: 0.0, Total_steps: 1035
12:16:27,12  76, step: 10, E: 0.0, Total_steps: 1045
12:16:27,43  77, step: 11, E: 0.0, Total_steps: 1056
12:16:27,68  78, step: 10, E: 0.1, Total_steps: 1066
12:16:27,112  79, step: 9, E: 0.1111111111111111, Total_steps: 1075
12:16:27,143  80, step: 10, E: 0.0, Total_steps: 1085
12:16:27,199  81, step: 10, E: 0.0, Total_steps: 1095
12:16:27,258  82, step: 10, E: 0.0, Total_steps: 1105
12:16:27,289  83, step: 12, E: 0.0, Total_steps: 1117
12:16:27,313  84, step: 10, E: 0.0, Total_steps: 1127
12:16:27,355  85, step: 11, E: 0.0, Total_steps: 1138
12:16:27,380  86, step: 10, E: 0.0, Total_steps: 1148
12:16:27,411  87, step: 13, E: 0.15384615384615385, Total_steps: 1161
12:16:27,444  88, step: 11, E: 0.18181818181818182, Total_steps: 1172
12:16:27,497  89, step: 10, E: 0.1, Total_steps: 1182
12:16:27,556  90, step: 10, E: 0.0, Total_steps: 1192
12:16:27,602  91, step: 12, E: 0.0, Total_steps: 1204
12:16:27,636  92, step: 13, E: 0.0, Total_steps: 1217
12:16:27,681  93, step: 14, E: 0.0, Total_steps: 1231
12:16:27,733  94, step: 12, E: 0.08333333333333333, Total_steps: 1243
12:16:27,779  95, step: 14, E: 0.0, Total_steps: 1257
12:16:27,813  96, step: 12, E: 0.0, Total_steps: 1269
12:16:27,847  97, step: 10, E: 0.0, Total_steps: 1279
12:16:27,909  98, step: 11, E: 0.0, Total_steps: 1290
12:16:27,944  99, step: 15, E: 0.13333333333333333, Total_steps: 1305
12:16:27,991  100, step: 14, E: 0.14285714285714285, Total_steps: 1319
12:16:28,52  101, step: 12, E: 0.0, Total_steps: 1331
12:16:28,100  102, step: 17, E: 0.058823529411764705, Total_steps: 1348
12:16:28,154  103, step: 14, E: 0.07142857142857142, Total_steps: 1362
12:16:28,187  104, step: 12, E: 0.08333333333333333, Total_steps: 1374
12:16:28,243  105, step: 15, E: 0.0, Total_steps: 1389
12:16:28,299  106, step: 15, E: 0.06666666666666667, Total_steps: 1404
12:16:28,342  107, step: 16, E: 0.0625, Total_steps: 1420
12:16:28,405  108, step: 14, E: 0.0, Total_steps: 1434
12:16:28,445  109, step: 15, E: 0.06666666666666667, Total_steps: 1449
12:16:28,506  110, step: 16, E: 0.0, Total_steps: 1465
12:16:28,573  111, step: 18, E: 0.0, Total_steps: 1483
12:16:28,644  112, step: 23, E: 0.13043478260869565, Total_steps: 1506
12:16:28,685  113, step: 17, E: 0.058823529411764705, Total_steps: 1523
12:16:28,721  114, step: 15, E: 0.0, Total_steps: 1538
12:16:28,769  115, step: 18, E: 0.0, Total_steps: 1556
12:16:28,804  116, step: 14, E: 0.0, Total_steps: 1570
12:16:28,855  117, step: 19, E: 0.10526315789473684, Total_steps: 1589
12:16:28,958  118, step: 24, E: 0.08333333333333333, Total_steps: 1613
12:16:29,8  119, step: 16, E: 0.0625, Total_steps: 1629
12:16:29,70  120, step: 18, E: 0.05555555555555555, Total_steps: 1647
12:16:29,169  121, step: 16, E: 0.0, Total_steps: 1663
12:16:29,221  122, step: 17, E: 0.0, Total_steps: 1680
12:16:29,274  123, step: 21, E: 0.0, Total_steps: 1701
12:16:29,340  124, step: 20, E: 0.05, Total_steps: 1721
12:16:29,437  125, step: 20, E: 0.1, Total_steps: 1741
12:16:29,504  126, step: 19, E: 0.10526315789473684, Total_steps: 1760
12:16:29,559  127, step: 21, E: 0.09523809523809523, Total_steps: 1781
12:16:29,643  128, step: 22, E: 0.0, Total_steps: 1803
12:16:29,717  129, step: 21, E: 0.0, Total_steps: 1824
12:16:29,783  130, step: 21, E: 0.047619047619047616, Total_steps: 1845
