03:00:51,505  0, step: 200, E: 0.535, Total_steps: 200
03:00:52,51  1, step: 200, E: 0.505, Total_steps: 400
03:00:53,579  2, step: 200, E: 0.33, Total_steps: 600
03:00:54,690  3, step: 200, E: 0.315, Total_steps: 800
03:00:55,807  4, step: 200, E: 0.225, Total_steps: 1000
03:00:56,830  5, step: 200, E: 0.215, Total_steps: 1200
03:00:57,825  6, step: 200, E: 0.175, Total_steps: 1400
03:00:58,882  7, step: 200, E: 0.205, Total_steps: 1600
03:00:59,934  8, step: 200, E: 0.17, Total_steps: 1800
03:01:01,7  9, step: 200, E: 0.11, Total_steps: 2000
03:01:02,50  10, step: 200, E: 0.115, Total_steps: 2200
03:01:03,76  11, step: 200, E: 0.095, Total_steps: 2400
03:01:04,39  12, step: 200, E: 0.1, Total_steps: 2600
03:01:05,1  13, step: 200, E: 0.1, Total_steps: 2800
03:01:05,997  14, step: 200, E: 0.065, Total_steps: 3000
03:01:06,976  15, step: 200, E: 0.075, Total_steps: 3200
03:01:07,974  16, step: 200, E: 0.065, Total_steps: 3400
03:01:09,109  17, step: 200, E: 0.07, Total_steps: 3600
03:01:10,532  18, step: 200, E: 0.045, Total_steps: 3800
03:01:12,619  19, step: 200, E: 0.04, Total_steps: 4000
03:01:13,682  20, step: 200, E: 0.07, Total_steps: 4200
03:01:14,667  21, step: 200, E: 0.035, Total_steps: 4400
03:01:15,712  22, step: 200, E: 0.015, Total_steps: 4600
03:01:16,603  23, step: 200, E: 0.035, Total_steps: 4800
03:01:17,594  24, step: 200, E: 0.07, Total_steps: 5000
03:01:18,557  25, step: 200, E: 0.03, Total_steps: 5200
03:01:19,617  26, step: 200, E: 0.025, Total_steps: 5400
03:01:20,650  27, step: 200, E: 0.045, Total_steps: 5600
03:01:21,599  28, step: 200, E: 0.05, Total_steps: 5800
03:01:22,686  29, step: 200, E: 0.035, Total_steps: 6000
03:01:23,664  30, step: 200, E: 0.045, Total_steps: 6200
03:01:24,595  31, step: 200, E: 0.025, Total_steps: 6400
03:01:25,707  32, step: 200, E: 0.04, Total_steps: 6600
03:01:26,721  33, step: 200, E: 0.035, Total_steps: 6800
03:01:27,849  34, step: 200, E: 0.0, Total_steps: 7000
03:01:28,959  35, step: 200, E: 0.04, Total_steps: 7200
03:01:30,47  36, step: 200, E: 0.025, Total_steps: 7400
03:01:31,41  37, step: 200, E: 0.035, Total_steps: 7600
03:01:32,236  38, step: 200, E: 0.015, Total_steps: 7800
03:01:33,304  39, step: 200, E: 0.04, Total_steps: 8000
03:01:34,524  40, step: 200, E: 0.03, Total_steps: 8200
03:01:35,691  41, step: 200, E: 0.03, Total_steps: 8400
03:01:37,246  42, step: 200, E: 0.035, Total_steps: 8600
03:01:38,758  43, step: 200, E: 0.045, Total_steps: 8800
03:01:40,268  44, step: 200, E: 0.03, Total_steps: 9000
03:01:41,515  45, step: 200, E: 0.03, Total_steps: 9200
03:01:43,432  46, step: 200, E: 0.03, Total_steps: 9400
03:01:44,681  47, step: 200, E: 0.015, Total_steps: 9600
03:01:45,969  48, step: 200, E: 0.03, Total_steps: 9800
03:01:47,174  49, step: 200, E: 0.015, Total_steps: 10000
03:01:48,409  50, step: 200, E: 0.02, Total_steps: 10200
03:01:49,554  51, step: 200, E: 0.03, Total_steps: 10400
03:01:50,734  52, step: 200, E: 0.045, Total_steps: 10600
03:01:51,726  53, step: 200, E: 0.02, Total_steps: 10800
03:01:53,29  54, step: 200, E: 0.065, Total_steps: 11000
03:01:54,49  55, step: 200, E: 0.03, Total_steps: 11200
03:01:55,87  56, step: 200, E: 0.05, Total_steps: 11400
03:01:56,220  57, step: 200, E: 0.055, Total_steps: 11600
03:01:57,317  58, step: 200, E: 0.045, Total_steps: 11800
03:01:58,501  59, step: 200, E: 0.015, Total_steps: 12000
03:01:59,530  60, step: 200, E: 0.055, Total_steps: 12200
03:02:00,508  61, step: 200, E: 0.055, Total_steps: 12400
03:02:01,690  62, step: 200, E: 0.025, Total_steps: 12600
03:02:03,28  63, step: 200, E: 0.045, Total_steps: 12800
03:02:04,298  64, step: 200, E: 0.025, Total_steps: 13000
03:02:05,557  65, step: 200, E: 0.04, Total_steps: 13200
03:02:06,976  66, step: 200, E: 0.045, Total_steps: 13400
03:02:08,510  67, step: 200, E: 0.065, Total_steps: 13600
03:02:09,909  68, step: 200, E: 0.015, Total_steps: 13800
03:02:11,217  69, step: 200, E: 0.04, Total_steps: 14000
03:02:13,311  70, step: 200, E: 0.05, Total_steps: 14200
03:02:14,842  71, step: 200, E: 0.015, Total_steps: 14400
03:02:16,503  72, step: 200, E: 0.03, Total_steps: 14600
03:02:17,993  73, step: 200, E: 0.02, Total_steps: 14800
03:02:19,526  74, step: 200, E: 0.04, Total_steps: 15000
03:02:20,863  75, step: 200, E: 0.02, Total_steps: 15200
03:02:22,55  76, step: 200, E: 0.04, Total_steps: 15400
03:02:23,277  77, step: 200, E: 0.04, Total_steps: 15600
03:02:24,480  78, step: 200, E: 0.02, Total_steps: 15800
03:02:25,783  79, step: 200, E: 0.04, Total_steps: 16000
03:02:27,108  80, step: 200, E: 0.03, Total_steps: 16200
03:02:28,333  81, step: 200, E: 0.04, Total_steps: 16400
03:02:29,619  82, step: 200, E: 0.025, Total_steps: 16600
03:02:30,870  83, step: 200, E: 0.04, Total_steps: 16800
03:02:31,994  84, step: 200, E: 0.03, Total_steps: 17000
03:02:33,377  85, step: 200, E: 0.025, Total_steps: 17200
03:02:34,576  86, step: 200, E: 0.03, Total_steps: 17400
03:02:35,782  87, step: 200, E: 0.035, Total_steps: 17600
03:02:36,980  88, step: 200, E: 0.045, Total_steps: 17800
03:02:38,475  89, step: 200, E: 0.0, Total_steps: 18000
03:02:39,734  90, step: 200, E: 0.035, Total_steps: 18200
03:02:40,869  91, step: 200, E: 0.025, Total_steps: 18400
03:02:42,762  92, step: 200, E: 0.04, Total_steps: 18600
03:02:43,944  93, step: 200, E: 0.015, Total_steps: 18800
03:02:45,51  94, step: 200, E: 0.02, Total_steps: 19000
03:02:46,73  95, step: 200, E: 0.04, Total_steps: 19200
03:02:47,239  96, step: 200, E: 0.02, Total_steps: 19400
03:02:48,507  97, step: 200, E: 0.025, Total_steps: 19600
