03:23:09,775  0, step: 200, E: 0.645, Total_steps: 200
03:23:11,31  1, step: 200, E: 0.61, Total_steps: 400
03:23:14,323  2, step: 200, E: 0.6, Total_steps: 600
03:23:16,648  3, step: 200, E: 0.485, Total_steps: 800
03:23:18,917  4, step: 200, E: 0.48, Total_steps: 1000
03:23:21,310  5, step: 200, E: 0.665, Total_steps: 1200
03:23:23,994  6, step: 200, E: 0.61, Total_steps: 1400
03:23:26,447  7, step: 200, E: 0.595, Total_steps: 1600
03:23:28,739  8, step: 200, E: 0.465, Total_steps: 1800
03:23:31,48  9, step: 200, E: 0.605, Total_steps: 2000
03:23:33,353  10, step: 200, E: 0.59, Total_steps: 2200
03:23:36,293  11, step: 200, E: 0.695, Total_steps: 2400
03:23:38,984  12, step: 200, E: 0.605, Total_steps: 2600
03:23:41,433  13, step: 200, E: 0.585, Total_steps: 2800
03:23:44,789  14, step: 200, E: 0.63, Total_steps: 3000
03:23:47,177  15, step: 200, E: 0.61, Total_steps: 3200
03:23:49,703  16, step: 200, E: 0.67, Total_steps: 3400
03:23:52,304  17, step: 200, E: 0.65, Total_steps: 3600
03:23:54,852  18, step: 200, E: 0.635, Total_steps: 3800
03:23:57,637  19, step: 200, E: 0.65, Total_steps: 4000
03:24:00,68  20, step: 200, E: 0.635, Total_steps: 4200
03:24:02,715  21, step: 200, E: 0.605, Total_steps: 4400
03:24:09,612  22, step: 200, E: 0.67, Total_steps: 4600
03:24:14,930  23, step: 200, E: 0.63, Total_steps: 4800
03:24:17,572  24, step: 200, E: 0.675, Total_steps: 5000
03:24:20,363  25, step: 200, E: 0.62, Total_steps: 5200
03:24:22,973  26, step: 200, E: 0.6, Total_steps: 5400
03:24:25,658  27, step: 200, E: 0.65, Total_steps: 5600
03:24:28,130  28, step: 200, E: 0.635, Total_steps: 5800
03:24:30,550  29, step: 200, E: 0.59, Total_steps: 6000
03:24:32,882  30, step: 200, E: 0.635, Total_steps: 6200
03:24:35,283  31, step: 200, E: 0.61, Total_steps: 6400
03:24:37,841  32, step: 200, E: 0.62, Total_steps: 6600
03:24:40,232  33, step: 200, E: 0.6, Total_steps: 6800
03:24:44,692  34, step: 200, E: 0.6, Total_steps: 7000
03:24:48,125  35, step: 200, E: 0.63, Total_steps: 7200
03:24:51,254  36, step: 200, E: 0.6, Total_steps: 7400
03:24:55,556  37, step: 200, E: 0.61, Total_steps: 7600
03:24:58,986  38, step: 200, E: 0.545, Total_steps: 7800
03:25:02,466  39, step: 200, E: 0.61, Total_steps: 8000
03:25:05,196  40, step: 200, E: 0.595, Total_steps: 8200
03:25:07,651  41, step: 200, E: 0.57, Total_steps: 8400
03:25:09,935  42, step: 200, E: 0.52, Total_steps: 8600
03:25:12,395  43, step: 200, E: 0.59, Total_steps: 8800
03:25:16,134  44, step: 200, E: 0.58, Total_steps: 9000
03:25:18,809  45, step: 200, E: 0.61, Total_steps: 9200
03:25:21,539  46, step: 200, E: 0.58, Total_steps: 9400
03:25:24,183  47, step: 200, E: 0.57, Total_steps: 9600
03:25:26,784  48, step: 200, E: 0.56, Total_steps: 9800
03:25:28,972  49, step: 200, E: 0.515, Total_steps: 10000
03:25:31,341  50, step: 200, E: 0.555, Total_steps: 10200
03:25:33,853  51, step: 200, E: 0.57, Total_steps: 10400
03:25:36,493  52, step: 200, E: 0.55, Total_steps: 10600
03:25:38,936  53, step: 200, E: 0.63, Total_steps: 10800
03:25:41,359  54, step: 200, E: 0.6, Total_steps: 11000
03:25:44,868  55, step: 200, E: 0.625, Total_steps: 11200
03:25:47,542  56, step: 200, E: 0.595, Total_steps: 11400
03:25:50,238  57, step: 200, E: 0.565, Total_steps: 11600
03:25:53,260  58, step: 200, E: 0.565, Total_steps: 11800
03:25:56,145  59, step: 200, E: 0.525, Total_steps: 12000
03:25:58,746  60, step: 200, E: 0.565, Total_steps: 12200
03:26:01,109  61, step: 200, E: 0.585, Total_steps: 12400
03:26:04,84  62, step: 200, E: 0.555, Total_steps: 12600
03:26:06,672  63, step: 200, E: 0.585, Total_steps: 12800
03:26:09,476  64, step: 200, E: 0.58, Total_steps: 13000
03:26:11,976  65, step: 200, E: 0.605, Total_steps: 13200
03:26:15,245  66, step: 200, E: 0.55, Total_steps: 13400
03:26:17,656  67, step: 200, E: 0.585, Total_steps: 13600
03:26:19,943  68, step: 200, E: 0.625, Total_steps: 13800
03:26:22,462  69, step: 200, E: 0.6, Total_steps: 14000
03:26:24,943  70, step: 200, E: 0.555, Total_steps: 14200
03:26:27,445  71, step: 200, E: 0.57, Total_steps: 14400
03:26:29,871  72, step: 200, E: 0.545, Total_steps: 14600
03:26:32,578  73, step: 200, E: 0.56, Total_steps: 14800
03:26:34,950  74, step: 200, E: 0.58, Total_steps: 15000
03:26:37,393  75, step: 200, E: 0.495, Total_steps: 15200
03:26:39,567  76, step: 200, E: 0.56, Total_steps: 15400
