16:00:09,109  0, step: 22, E: 0.36363636363636365, Total_steps: 22
16:00:09,217  1, step: 12, E: 0.3333333333333333, Total_steps: 34
16:00:09,329  2, step: 15, E: 0.26666666666666666, Total_steps: 49
16:00:09,431  3, step: 11, E: 0.36363636363636365, Total_steps: 60
16:00:09,549  4, step: 13, E: 0.38461538461538464, Total_steps: 73
16:00:09,662  5, step: 11, E: 0.09090909090909091, Total_steps: 84
16:00:09,743  6, step: 9, E: 0.1111111111111111, Total_steps: 93
16:00:09,834  7, step: 13, E: 0.23076923076923078, Total_steps: 106
16:00:09,952  8, step: 11, E: 0.2727272727272727, Total_steps: 117
16:00:10,59  9, step: 12, E: 0.25, Total_steps: 129
16:00:10,796  10, step: 11, E: 0.2727272727272727, Total_steps: 140
16:00:10,914  11, step: 14, E: 0.21428571428571427, Total_steps: 154
16:00:11,89  12, step: 16, E: 0.25, Total_steps: 170
16:00:11,291  13, step: 24, E: 0.4583333333333333, Total_steps: 194
16:00:11,423  14, step: 14, E: 0.35714285714285715, Total_steps: 208
16:00:11,534  15, step: 12, E: 0.3333333333333333, Total_steps: 220
16:00:11,616  16, step: 10, E: 0.2, Total_steps: 230
16:00:11,737  17, step: 15, E: 0.3333333333333333, Total_steps: 245
16:00:11,827  18, step: 10, E: 0.3, Total_steps: 255
16:00:11,919  19, step: 13, E: 0.38461538461538464, Total_steps: 268
16:00:12,851  20, step: 10, E: 0.2, Total_steps: 278
16:00:12,932  21, step: 8, E: 0.125, Total_steps: 286
16:00:13,93  22, step: 13, E: 0.3076923076923077, Total_steps: 299
16:00:13,407  23, step: 9, E: 0.1111111111111111, Total_steps: 308
16:00:13,754  24, step: 11, E: 0.18181818181818182, Total_steps: 319
16:00:14,137  25, step: 11, E: 0.18181818181818182, Total_steps: 330
16:00:14,599  26, step: 15, E: 0.2, Total_steps: 345
16:00:14,904  27, step: 10, E: 0.0, Total_steps: 355
16:00:15,236  28, step: 10, E: 0.1, Total_steps: 365
16:00:15,593  29, step: 10, E: 0.1, Total_steps: 375
16:00:16,693  30, step: 8, E: 0.0, Total_steps: 383
16:00:16,937  31, step: 9, E: 0.1111111111111111, Total_steps: 392
16:00:17,171  32, step: 8, E: 0.0, Total_steps: 400
16:00:17,539  33, step: 10, E: 0.0, Total_steps: 410
16:00:17,814  34, step: 9, E: 0.0, Total_steps: 419
16:00:18,118  35, step: 9, E: 0.0, Total_steps: 428
16:00:18,440  36, step: 10, E: 0.0, Total_steps: 438
16:00:18,802  37, step: 10, E: 0.1, Total_steps: 448
16:00:19,148  38, step: 10, E: 0.0, Total_steps: 458
16:00:19,448  39, step: 10, E: 0.0, Total_steps: 468
16:00:20,541  40, step: 9, E: 0.0, Total_steps: 477
16:00:20,898  41, step: 9, E: 0.0, Total_steps: 486
16:00:21,213  42, step: 8, E: 0.0, Total_steps: 494
16:00:21,517  43, step: 9, E: 0.0, Total_steps: 503
16:00:21,790  44, step: 9, E: 0.1111111111111111, Total_steps: 512
16:00:22,158  45, step: 10, E: 0.0, Total_steps: 522
16:00:22,501  46, step: 9, E: 0.1111111111111111, Total_steps: 531
16:00:22,861  47, step: 9, E: 0.0, Total_steps: 540
16:00:23,239  48, step: 11, E: 0.09090909090909091, Total_steps: 551
16:00:23,599  49, step: 10, E: 0.0, Total_steps: 561
16:00:24,741  50, step: 8, E: 0.0, Total_steps: 569
16:00:25,164  51, step: 9, E: 0.1111111111111111, Total_steps: 578
16:00:25,432  52, step: 10, E: 0.1, Total_steps: 588
16:00:25,924  53, step: 9, E: 0.0, Total_steps: 597
16:00:26,209  54, step: 9, E: 0.0, Total_steps: 606
16:00:26,641  55, step: 10, E: 0.1, Total_steps: 616
16:00:26,920  56, step: 9, E: 0.1111111111111111, Total_steps: 625
16:00:27,251  57, step: 9, E: 0.1111111111111111, Total_steps: 634
16:00:27,486  58, step: 9, E: 0.1111111111111111, Total_steps: 643
16:00:27,759  59, step: 9, E: 0.0, Total_steps: 652
16:00:28,723  60, step: 9, E: 0.0, Total_steps: 661
16:00:28,982  61, step: 9, E: 0.1111111111111111, Total_steps: 670
16:00:29,234  62, step: 9, E: 0.0, Total_steps: 679
16:00:29,497  63, step: 10, E: 0.1, Total_steps: 689
16:00:29,836  64, step: 10, E: 0.0, Total_steps: 699
16:00:30,116  65, step: 10, E: 0.0, Total_steps: 709
16:00:30,370  66, step: 8, E: 0.0, Total_steps: 717
16:00:30,709  67, step: 8, E: 0.0, Total_steps: 725
16:00:30,990  68, step: 8, E: 0.0, Total_steps: 733
16:00:31,250  69, step: 9, E: 0.1111111111111111, Total_steps: 742
16:00:32,253  70, step: 8, E: 0.0, Total_steps: 750
16:00:32,563  71, step: 9, E: 0.0, Total_steps: 759
16:00:32,893  72, step: 10, E: 0.0, Total_steps: 769
16:00:33,146  73, step: 9, E: 0.0, Total_steps: 778
16:00:33,432  74, step: 10, E: 0.0, Total_steps: 788
16:00:33,748  75, step: 10, E: 0.0, Total_steps: 798
16:00:33,966  76, step: 8, E: 0.0, Total_steps: 806
16:00:34,265  77, step: 9, E: 0.0, Total_steps: 815
16:00:34,589  78, step: 10, E: 0.0, Total_steps: 825
16:00:34,832  79, step: 9, E: 0.0, Total_steps: 834
16:00:35,796  80, step: 9, E: 0.0, Total_steps: 843
16:00:36,105  81, step: 10, E: 0.0, Total_steps: 853
16:00:36,374  82, step: 9, E: 0.0, Total_steps: 862
16:00:36,606  83, step: 8, E: 0.0, Total_steps: 870
16:00:36,908  84, step: 10, E: 0.0, Total_steps: 880
16:00:37,156  85, step: 8, E: 0.0, Total_steps: 888
16:00:37,445  86, step: 10, E: 0.1, Total_steps: 898
16:00:37,668  87, step: 9, E: 0.1111111111111111, Total_steps: 907
16:00:38,341  88, step: 9, E: 0.0, Total_steps: 916
16:00:38,627  89, step: 9, E: 0.1111111111111111, Total_steps: 925
16:00:39,564  90, step: 8, E: 0.0, Total_steps: 933
16:00:39,816  91, step: 10, E: 0.0, Total_steps: 943
16:00:40,169  92, step: 9, E: 0.0, Total_steps: 952
16:00:40,465  93, step: 10, E: 0.1, Total_steps: 962
16:00:40,825  94, step: 9, E: 0.0, Total_steps: 971
16:00:41,72  95, step: 8, E: 0.0, Total_steps: 979
16:00:41,464  96, step: 10, E: 0.0, Total_steps: 989
16:00:41,806  97, step: 10, E: 0.0, Total_steps: 999
16:00:42,114  98, step: 9, E: 0.1111111111111111, Total_steps: 1008
16:00:42,421  99, step: 10, E: 0.1, Total_steps: 1018
16:00:43,550  100, step: 10, E: 0.1, Total_steps: 1028
16:00:43,835  101, step: 9, E: 0.0, Total_steps: 1037
16:00:44,109  102, step: 8, E: 0.0, Total_steps: 1045
16:00:44,417  103, step: 10, E: 0.0, Total_steps: 1055
16:00:44,734  104, step: 10, E: 0.1, Total_steps: 1065
16:00:45,54  105, step: 9, E: 0.0, Total_steps: 1074
16:00:45,364  106, step: 9, E: 0.1111111111111111, Total_steps: 1083
16:00:45,636  107, step: 8, E: 0.125, Total_steps: 1091
16:00:45,913  108, step: 9, E: 0.0, Total_steps: 1100
16:00:46,241  109, step: 10, E: 0.0, Total_steps: 1110
16:00:47,264  110, step: 11, E: 0.09090909090909091, Total_steps: 1121
16:00:47,681  111, step: 9, E: 0.0, Total_steps: 1130
16:00:47,972  112, step: 9, E: 0.1111111111111111, Total_steps: 1139
16:00:48,250  113, step: 8, E: 0.0, Total_steps: 1147
16:00:48,592  114, step: 8, E: 0.0, Total_steps: 1155
16:00:48,894  115, step: 9, E: 0.0, Total_steps: 1164
16:00:49,326  116, step: 9, E: 0.1111111111111111, Total_steps: 1173
16:00:49,615  117, step: 9, E: 0.1111111111111111, Total_steps: 1182
16:00:49,934  118, step: 10, E: 0.1, Total_steps: 1192
16:00:50,232  119, step: 9, E: 0.1111111111111111, Total_steps: 1201
16:00:51,706  120, step: 9, E: 0.0, Total_steps: 1210
16:00:52,505  121, step: 9, E: 0.0, Total_steps: 1219
16:00:53,418  122, step: 10, E: 0.0, Total_steps: 1229
16:00:54,601  123, step: 8, E: 0.0, Total_steps: 1237
16:00:54,863  124, step: 10, E: 0.1, Total_steps: 1247
16:00:55,149  125, step: 8, E: 0.125, Total_steps: 1255
16:00:55,759  126, step: 11, E: 0.18181818181818182, Total_steps: 1266
16:00:56,714  127, step: 9, E: 0.1111111111111111, Total_steps: 1275
16:00:57,181  128, step: 13, E: 0.15384615384615385, Total_steps: 1288
16:00:57,704  129, step: 13, E: 0.46153846153846156, Total_steps: 1301
16:00:59,249  130, step: 8, E: 0.0, Total_steps: 1309
16:00:59,647  131, step: 10, E: 0.1, Total_steps: 1319
16:01:00,135  132, step: 11, E: 0.18181818181818182, Total_steps: 1330
16:01:00,530  133, step: 10, E: 0.1, Total_steps: 1340
16:01:00,860  134, step: 9, E: 0.0, Total_steps: 1349
16:01:01,224  135, step: 9, E: 0.1111111111111111, Total_steps: 1358
16:01:01,839  136, step: 14, E: 0.2857142857142857, Total_steps: 1372
16:01:02,368  137, step: 13, E: 0.15384615384615385, Total_steps: 1385
16:01:02,744  138, step: 10, E: 0.1, Total_steps: 1395
16:01:03,128  139, step: 10, E: 0.0, Total_steps: 1405
16:01:04,349  140, step: 10, E: 0.1, Total_steps: 1415
16:01:04,649  141, step: 8, E: 0.0, Total_steps: 1423
16:01:05,224  142, step: 13, E: 0.3076923076923077, Total_steps: 1436
16:01:05,805  143, step: 15, E: 0.26666666666666666, Total_steps: 1451
16:01:06,296  144, step: 13, E: 0.23076923076923078, Total_steps: 1464
16:01:06,616  145, step: 10, E: 0.2, Total_steps: 1474
16:01:07,121  146, step: 10, E: 0.3, Total_steps: 1484
16:01:07,604  147, step: 8, E: 0.0, Total_steps: 1492
16:01:08,789  148, step: 13, E: 0.3076923076923077, Total_steps: 1505
16:01:09,245  149, step: 9, E: 0.0, Total_steps: 1514
16:01:10,633  150, step: 13, E: 0.15384615384615385, Total_steps: 1527
16:01:11,20  151, step: 11, E: 0.09090909090909091, Total_steps: 1538
16:01:11,637  152, step: 14, E: 0.42857142857142855, Total_steps: 1552
16:01:12,181  153, step: 16, E: 0.1875, Total_steps: 1568
16:01:13,286  154, step: 15, E: 0.2, Total_steps: 1583
16:01:13,706  155, step: 11, E: 0.18181818181818182, Total_steps: 1594
16:01:13,991  156, step: 9, E: 0.0, Total_steps: 1603
16:01:14,369  157, step: 10, E: 0.1, Total_steps: 1613
16:01:14,730  158, step: 11, E: 0.0, Total_steps: 1624
16:01:15,74  159, step: 11, E: 0.09090909090909091, Total_steps: 1635
16:01:16,296  160, step: 11, E: 0.09090909090909091, Total_steps: 1646
16:01:16,627  161, step: 10, E: 0.1, Total_steps: 1656
16:01:16,989  162, step: 9, E: 0.1111111111111111, Total_steps: 1665
16:01:17,371  163, step: 14, E: 0.2857142857142857, Total_steps: 1679
16:01:17,725  164, step: 12, E: 0.16666666666666666, Total_steps: 1691
16:01:18,34  165, step: 9, E: 0.0, Total_steps: 1700
16:01:18,329  166, step: 9, E: 0.1111111111111111, Total_steps: 1709
16:01:18,629  167, step: 11, E: 0.09090909090909091, Total_steps: 1720
16:01:18,951  168, step: 10, E: 0.1, Total_steps: 1730
16:01:19,329  169, step: 10, E: 0.1, Total_steps: 1740
16:01:20,489  170, step: 10, E: 0.0, Total_steps: 1750
16:01:20,910  171, step: 14, E: 0.2857142857142857, Total_steps: 1764
16:01:21,168  172, step: 9, E: 0.1111111111111111, Total_steps: 1773
16:01:21,406  173, step: 8, E: 0.0, Total_steps: 1781
16:01:21,663  174, step: 9, E: 0.0, Total_steps: 1790
