10:04:43,253  0, step: 13, E: 0.23076923076923078, Total_steps: 13
10:04:43,905  1, step: 11, E: 0.36363636363636365, Total_steps: 24
10:04:44,649  2, step: 14, E: 0.35714285714285715, Total_steps: 38
10:04:45,234  3, step: 11, E: 0.36363636363636365, Total_steps: 49
10:04:46,135  4, step: 19, E: 0.2631578947368421, Total_steps: 68
10:04:48,899  5, step: 19, E: 0.3684210526315789, Total_steps: 87
10:04:50,519  6, step: 33, E: 0.45454545454545453, Total_steps: 120
10:04:51,835  7, step: 20, E: 0.35, Total_steps: 140
10:04:52,658  8, step: 12, E: 0.3333333333333333, Total_steps: 152
10:04:53,506  9, step: 19, E: 0.42105263157894735, Total_steps: 171
10:04:56,417  10, step: 21, E: 0.7142857142857143, Total_steps: 192
10:04:57,530  11, step: 23, E: 0.43478260869565216, Total_steps: 215
10:04:58,308  12, step: 15, E: 0.4, Total_steps: 230
10:04:59,188  13, step: 19, E: 0.3684210526315789, Total_steps: 249
10:04:59,826  14, step: 13, E: 0.23076923076923078, Total_steps: 262
10:05:02,288  15, step: 16, E: 0.375, Total_steps: 278
10:05:02,821  16, step: 10, E: 0.2, Total_steps: 288
10:05:05,360  17, step: 26, E: 0.4230769230769231, Total_steps: 314
10:05:07,904  18, step: 16, E: 0.5, Total_steps: 330
10:05:09,709  19, step: 13, E: 0.23076923076923078, Total_steps: 343
10:05:13,329  20, step: 10, E: 0.2, Total_steps: 353
10:05:14,787  21, step: 10, E: 0.2, Total_steps: 363
10:05:16,371  22, step: 11, E: 0.18181818181818182, Total_steps: 374
10:05:18,413  23, step: 15, E: 0.2, Total_steps: 389
10:05:19,677  24, step: 10, E: 0.1, Total_steps: 399
10:05:22,597  25, step: 9, E: 0.0, Total_steps: 408
10:05:24,685  26, step: 11, E: 0.09090909090909091, Total_steps: 419
10:05:27,205  27, step: 13, E: 0.15384615384615385, Total_steps: 432
10:05:29,62  28, step: 10, E: 0.0, Total_steps: 442
10:05:30,986  29, step: 10, E: 0.0, Total_steps: 452
10:05:34,907  30, step: 9, E: 0.0, Total_steps: 461
10:05:36,152  31, step: 8, E: 0.0, Total_steps: 469
10:05:37,396  32, step: 8, E: 0.0, Total_steps: 477
10:05:38,791  33, step: 9, E: 0.0, Total_steps: 486
10:05:40,565  34, step: 9, E: 0.0, Total_steps: 495
10:05:44,810  35, step: 10, E: 0.0, Total_steps: 505
10:05:46,327  36, step: 8, E: 0.0, Total_steps: 513
10:05:47,734  37, step: 8, E: 0.0, Total_steps: 521
10:05:49,464  38, step: 10, E: 0.0, Total_steps: 531
