09:43:46,184  0, step: 11, E: 0.36363636363636365, Total_steps: 11
09:43:46,807  1, step: 18, E: 0.2777777777777778, Total_steps: 29
09:43:47,640  2, step: 24, E: 0.375, Total_steps: 53
09:43:48,5  3, step: 10, E: 0.1, Total_steps: 63
09:43:48,486  4, step: 13, E: 0.15384615384615385, Total_steps: 76
09:43:51,218  5, step: 16, E: 0.3125, Total_steps: 92
09:43:51,762  6, step: 9, E: 0.1111111111111111, Total_steps: 101
09:43:52,383  7, step: 11, E: 0.09090909090909091, Total_steps: 112
09:43:53,449  8, step: 19, E: 0.42105263157894735, Total_steps: 131
09:43:54,899  9, step: 26, E: 0.38461538461538464, Total_steps: 157
09:43:57,201  10, step: 11, E: 0.2727272727272727, Total_steps: 168
09:43:57,811  11, step: 11, E: 0.2727272727272727, Total_steps: 179
09:43:58,750  12, step: 17, E: 0.35294117647058826, Total_steps: 196
09:43:59,424  13, step: 12, E: 0.16666666666666666, Total_steps: 208
09:44:00,37  14, step: 11, E: 0.2727272727272727, Total_steps: 219
09:44:02,767  15, step: 15, E: 0.4, Total_steps: 234
09:44:03,665  16, step: 16, E: 0.3125, Total_steps: 250
09:44:05,311  17, step: 29, E: 0.3793103448275862, Total_steps: 279
09:44:06,260  18, step: 17, E: 0.29411764705882354, Total_steps: 296
09:44:10,533  19, step: 27, E: 0.4074074074074074, Total_steps: 323
09:44:15,578  20, step: 17, E: 0.35294117647058826, Total_steps: 340
09:44:17,321  21, step: 11, E: 0.2727272727272727, Total_steps: 351
09:44:21,195  22, step: 24, E: 0.3333333333333333, Total_steps: 375
09:44:23,448  23, step: 14, E: 0.2857142857142857, Total_steps: 389
09:44:25,366  24, step: 12, E: 0.08333333333333333, Total_steps: 401
09:44:28,567  25, step: 9, E: 0.1111111111111111, Total_steps: 410
09:44:30,257  26, step: 11, E: 0.2727272727272727, Total_steps: 421
09:44:31,480  27, step: 8, E: 0.0, Total_steps: 429
09:44:32,999  28, step: 10, E: 0.0, Total_steps: 439
09:44:34,679  29, step: 11, E: 0.09090909090909091, Total_steps: 450
09:44:37,834  30, step: 9, E: 0.0, Total_steps: 459
09:44:39,200  31, step: 9, E: 0.0, Total_steps: 468
09:44:40,737  32, step: 10, E: 0.0, Total_steps: 478
09:44:42,256  33, step: 10, E: 0.0, Total_steps: 488
09:44:43,636  34, step: 9, E: 0.0, Total_steps: 497
09:44:47,183  35, step: 11, E: 0.0, Total_steps: 508
09:44:48,561  36, step: 9, E: 0.0, Total_steps: 517
09:44:49,952  37, step: 9, E: 0.0, Total_steps: 526
09:44:51,484  38, step: 10, E: 0.0, Total_steps: 536
09:44:53,8  39, step: 10, E: 0.0, Total_steps: 546
09:44:56,725  40, step: 10, E: 0.0, Total_steps: 556
09:44:58,109  41, step: 9, E: 0.0, Total_steps: 565
09:44:59,483  42, step: 9, E: 0.0, Total_steps: 574
09:45:01,45  43, step: 10, E: 0.0, Total_steps: 584
09:45:02,658  44, step: 10, E: 0.0, Total_steps: 594
09:45:06,176  45, step: 10, E: 0.0, Total_steps: 604
09:45:07,604  46, step: 9, E: 0.0, Total_steps: 613
09:45:08,972  47, step: 9, E: 0.0, Total_steps: 622
09:45:10,486  48, step: 10, E: 0.1, Total_steps: 632
09:45:12,13  49, step: 10, E: 0.1, Total_steps: 642
09:45:15,262  50, step: 9, E: 0.0, Total_steps: 651
09:45:16,806  51, step: 10, E: 0.0, Total_steps: 661
09:45:18,344  52, step: 10, E: 0.0, Total_steps: 671
09:45:19,916  53, step: 10, E: 0.0, Total_steps: 681
09:45:21,565  54, step: 10, E: 0.1, Total_steps: 691
09:45:24,605  55, step: 8, E: 0.0, Total_steps: 699
09:45:26,319  56, step: 11, E: 0.18181818181818182, Total_steps: 710
09:45:27,737  57, step: 9, E: 0.1111111111111111, Total_steps: 719
09:45:29,122  58, step: 9, E: 0.0, Total_steps: 728
09:45:30,650  59, step: 10, E: 0.1, Total_steps: 738
09:45:34,54  60, step: 10, E: 0.0, Total_steps: 748
09:45:35,582  61, step: 10, E: 0.1, Total_steps: 758
09:45:37,114  62, step: 10, E: 0.0, Total_steps: 768
09:45:38,787  63, step: 11, E: 0.18181818181818182, Total_steps: 779
09:45:40,462  64, step: 11, E: 0.09090909090909091, Total_steps: 790
09:45:43,860  65, step: 10, E: 0.2, Total_steps: 800
09:45:45,399  66, step: 10, E: 0.0, Total_steps: 810
09:45:46,940  67, step: 10, E: 0.0, Total_steps: 820
09:45:48,363  68, step: 9, E: 0.1111111111111111, Total_steps: 829
09:45:49,736  69, step: 9, E: 0.1111111111111111, Total_steps: 838
09:45:53,134  70, step: 10, E: 0.0, Total_steps: 848
09:45:54,729  71, step: 10, E: 0.0, Total_steps: 858
09:45:56,329  72, step: 10, E: 0.0, Total_steps: 868
09:45:57,810  73, step: 9, E: 0.1111111111111111, Total_steps: 877
09:45:59,505  74, step: 9, E: 0.0, Total_steps: 886
09:46:03,163  75, step: 9, E: 0.0, Total_steps: 895
09:46:04,659  76, step: 9, E: 0.0, Total_steps: 904
09:46:05,851  77, step: 8, E: 0.0, Total_steps: 912
09:46:07,541  78, step: 10, E: 0.0, Total_steps: 922
09:46:09,99  79, step: 10, E: 0.0, Total_steps: 932
09:46:11,979  80, step: 8, E: 0.0, Total_steps: 940
09:46:13,64  81, step: 10, E: 0.1, Total_steps: 950
09:46:14,280  82, step: 10, E: 0.0, Total_steps: 960
09:46:15,352  83, step: 9, E: 0.0, Total_steps: 969
09:46:16,711  84, step: 11, E: 0.09090909090909091, Total_steps: 980
09:46:19,265  85, step: 8, E: 0.0, Total_steps: 988
09:46:20,637  86, step: 11, E: 0.0, Total_steps: 999
09:46:21,640  87, step: 9, E: 0.1111111111111111, Total_steps: 1008
09:46:22,728  88, step: 9, E: 0.1111111111111111, Total_steps: 1017
09:46:24,94  89, step: 10, E: 0.0, Total_steps: 1027
09:46:27,225  90, step: 10, E: 0.0, Total_steps: 1037
09:46:28,646  91, step: 10, E: 0.0, Total_steps: 1047
09:46:29,933  92, step: 10, E: 0.1, Total_steps: 1057
09:46:31,258  93, step: 11, E: 0.09090909090909091, Total_steps: 1068
09:46:32,417  94, step: 9, E: 0.0, Total_steps: 1077
09:46:35,131  95, step: 10, E: 0.0, Total_steps: 1087
09:46:36,66  96, step: 8, E: 0.0, Total_steps: 1095
09:46:37,364  97, step: 10, E: 0.1, Total_steps: 1105
09:46:38,428  98, step: 9, E: 0.0, Total_steps: 1114
09:46:39,906  99, step: 10, E: 0.0, Total_steps: 1124
09:46:42,515  100, step: 10, E: 0.0, Total_steps: 1134
09:46:43,819  101, step: 10, E: 0.0, Total_steps: 1144
09:46:45,533  102, step: 10, E: 0.0, Total_steps: 1154
09:46:47,98  103, step: 9, E: 0.0, Total_steps: 1163
09:46:48,407  104, step: 8, E: 0.0, Total_steps: 1171
09:46:52,118  105, step: 10, E: 0.1, Total_steps: 1181
09:46:53,728  106, step: 10, E: 0.0, Total_steps: 1191
09:46:55,358  107, step: 10, E: 0.0, Total_steps: 1201
09:46:56,783  108, step: 9, E: 0.0, Total_steps: 1210
09:46:58,192  109, step: 9, E: 0.0, Total_steps: 1219
09:47:01,805  110, step: 9, E: 0.1111111111111111, Total_steps: 1228
09:47:03,608  111, step: 10, E: 0.1, Total_steps: 1238
09:47:05,121  112, step: 9, E: 0.0, Total_steps: 1247
09:47:07,36  113, step: 9, E: 0.0, Total_steps: 1256
09:47:08,460  114, step: 8, E: 0.0, Total_steps: 1264
09:47:12,234  115, step: 9, E: 0.1111111111111111, Total_steps: 1273
09:47:13,997  116, step: 9, E: 0.1111111111111111, Total_steps: 1282
