18:36:47,156  0, step: 9, E: 0.0, Total_steps: 9
18:36:47,777  1, step: 27, E: 0.0, Total_steps: 36
18:36:48,178  2, step: 17, E: 0.0, Total_steps: 53
18:36:49,90  3, step: 39, E: 0.0, Total_steps: 92
18:36:49,382  4, step: 13, E: 0.0, Total_steps: 105
18:36:51,144  5, step: 12, E: 0.0, Total_steps: 117
18:36:51,484  6, step: 15, E: 0.0, Total_steps: 132
18:36:51,819  7, step: 15, E: 0.0, Total_steps: 147
18:36:52,329  8, step: 23, E: 0.0, Total_steps: 170
18:36:52,671  9, step: 14, E: 0.0, Total_steps: 184
18:36:54,459  10, step: 14, E: 0.0, Total_steps: 198
18:36:55,24  11, step: 24, E: 0.0, Total_steps: 222
18:36:55,358  12, step: 15, E: 0.0, Total_steps: 237
18:36:55,860  13, step: 22, E: 0.0, Total_steps: 259
18:36:56,428  14, step: 25, E: 0.0, Total_steps: 284
18:37:00,495  15, step: 43, E: 0.0, Total_steps: 327
18:37:01,737  16, step: 13, E: 0.0, Total_steps: 340
18:37:03,197  17, step: 15, E: 0.0, Total_steps: 355
18:37:04,326  18, step: 11, E: 0.0, Total_steps: 366
18:37:07,323  19, step: 31, E: 0.0, Total_steps: 397
18:37:09,476  20, step: 10, E: 0.0, Total_steps: 407
18:37:10,367  21, step: 9, E: 0.0, Total_steps: 416
18:37:12,145  22, step: 16, E: 0.0, Total_steps: 432
18:37:13,20  23, step: 9, E: 0.0, Total_steps: 441
18:37:14,180  24, step: 12, E: 0.0, Total_steps: 453
18:37:15,989  25, step: 10, E: 0.0, Total_steps: 463
18:37:17,322  26, step: 10, E: 0.0, Total_steps: 473
18:37:18,794  27, step: 10, E: 0.0, Total_steps: 483
18:37:20,326  28, step: 10, E: 0.0, Total_steps: 493
18:37:21,837  29, step: 10, E: 0.0, Total_steps: 503
18:37:24,751  30, step: 8, E: 0.0, Total_steps: 511
18:37:25,815  31, step: 10, E: 0.0, Total_steps: 521
18:37:26,694  32, step: 9, E: 0.0, Total_steps: 530
18:37:27,572  33, step: 9, E: 0.0, Total_steps: 539
18:37:28,446  34, step: 9, E: 0.0, Total_steps: 548
18:37:30,195  35, step: 10, E: 0.0, Total_steps: 558
18:37:31,47  36, step: 9, E: 0.0, Total_steps: 567
18:37:31,909  37, step: 9, E: 0.0, Total_steps: 576
18:37:32,898  38, step: 10, E: 0.0, Total_steps: 586
18:37:33,903  39, step: 10, E: 0.0, Total_steps: 596
18:37:35,742  40, step: 10, E: 0.0, Total_steps: 606
18:37:36,781  41, step: 10, E: 0.0, Total_steps: 616
18:37:37,806  42, step: 10, E: 0.0, Total_steps: 626
18:37:38,598  43, step: 8, E: 0.0, Total_steps: 634
18:37:39,665  44, step: 10, E: 0.0, Total_steps: 644
18:37:41,247  45, step: 8, E: 0.0, Total_steps: 652
18:37:42,224  46, step: 10, E: 0.0, Total_steps: 662
18:37:43,219  47, step: 10, E: 0.0, Total_steps: 672
18:37:44,164  48, step: 9, E: 0.0, Total_steps: 681
18:37:45,593  49, step: 10, E: 0.0, Total_steps: 691
18:37:48,595  50, step: 8, E: 0.0, Total_steps: 699
