14:28:46,920  0, step: 10, E: 0.0, Total_steps: 10
14:28:47,155  1, step: 10, E: 0.0, Total_steps: 20
14:28:47,577  2, step: 19, E: 0.0, Total_steps: 39
14:28:47,822  3, step: 11, E: 0.0, Total_steps: 50
14:28:48,89  4, step: 12, E: 0.0, Total_steps: 62
14:28:49,333  5, step: 10, E: 0.0, Total_steps: 72
14:28:49,561  6, step: 10, E: 0.0, Total_steps: 82
14:28:49,805  7, step: 11, E: 0.0, Total_steps: 93
14:28:50,71  8, step: 12, E: 0.0, Total_steps: 105
14:28:50,341  9, step: 12, E: 0.0, Total_steps: 117
14:28:51,880  10, step: 11, E: 0.0, Total_steps: 128
14:28:52,154  11, step: 12, E: 0.0, Total_steps: 140
14:28:52,377  12, step: 10, E: 0.0, Total_steps: 150
14:28:52,619  13, step: 11, E: 0.0, Total_steps: 161
14:28:52,976  14, step: 16, E: 0.0, Total_steps: 177
14:28:54,861  15, step: 45, E: 0.0, Total_steps: 222
14:28:55,112  16, step: 11, E: 0.0, Total_steps: 233
14:28:55,379  17, step: 12, E: 0.0, Total_steps: 245
14:28:55,756  18, step: 17, E: 0.0, Total_steps: 262
14:28:56,465  19, step: 25, E: 0.0, Total_steps: 287
14:28:57,805  20, step: 12, E: 0.0, Total_steps: 299
14:28:58,920  21, step: 13, E: 0.0, Total_steps: 312
14:28:59,932  22, step: 12, E: 0.0, Total_steps: 324
14:29:00,962  23, step: 13, E: 0.0, Total_steps: 337
14:29:01,941  24, step: 13, E: 0.0, Total_steps: 350
14:29:03,922  25, step: 13, E: 0.0, Total_steps: 363
14:29:04,673  26, step: 9, E: 0.0, Total_steps: 372
14:29:05,551  27, step: 10, E: 0.0, Total_steps: 382
14:29:06,400  28, step: 11, E: 0.0, Total_steps: 393
14:29:07,182  29, step: 11, E: 0.0, Total_steps: 404
14:29:08,910  30, step: 9, E: 0.0, Total_steps: 413
14:29:09,733  31, step: 10, E: 0.0, Total_steps: 423
14:29:10,383  32, step: 9, E: 0.0, Total_steps: 432
14:29:11,96  33, step: 9, E: 0.0, Total_steps: 441
14:29:12,30  34, step: 10, E: 0.0, Total_steps: 451
14:29:13,595  35, step: 9, E: 0.0, Total_steps: 460
14:29:14,399  36, step: 10, E: 0.0, Total_steps: 470
14:29:15,152  37, step: 9, E: 0.0, Total_steps: 479
14:29:16,65  38, step: 10, E: 0.0, Total_steps: 489
14:29:16,878  39, step: 9, E: 0.0, Total_steps: 498
14:29:18,527  40, step: 8, E: 0.0, Total_steps: 506
14:29:19,283  41, step: 9, E: 0.0, Total_steps: 515
14:29:20,171  42, step: 9, E: 0.0, Total_steps: 524
14:29:21,0  43, step: 9, E: 0.0, Total_steps: 533
14:29:21,816  44, step: 9, E: 0.0, Total_steps: 542
14:29:23,485  45, step: 10, E: 0.0, Total_steps: 552
14:29:24,297  46, step: 10, E: 0.0, Total_steps: 562
14:29:25,96  47, step: 9, E: 0.0, Total_steps: 571
14:29:25,761  48, step: 9, E: 0.0, Total_steps: 580
14:29:26,424  49, step: 8, E: 0.0, Total_steps: 588
14:29:28,382  50, step: 10, E: 0.0, Total_steps: 598
14:29:29,306  51, step: 10, E: 0.0, Total_steps: 608
14:29:30,128  52, step: 8, E: 0.0, Total_steps: 616
14:29:31,174  53, step: 10, E: 0.0, Total_steps: 626
14:29:32,126  54, step: 10, E: 0.0, Total_steps: 636
14:29:33,990  55, step: 10, E: 0.0, Total_steps: 646
14:29:34,944  56, step: 10, E: 0.0, Total_steps: 656
14:29:35,909  57, step: 11, E: 0.0, Total_steps: 667
14:29:37,1  58, step: 10, E: 0.0, Total_steps: 677
14:29:37,906  59, step: 9, E: 0.0, Total_steps: 686
14:29:39,540  60, step: 10, E: 0.0, Total_steps: 696
14:29:40,397  61, step: 10, E: 0.0, Total_steps: 706
14:29:41,358  62, step: 10, E: 0.0, Total_steps: 716
14:29:42,378  63, step: 11, E: 0.0, Total_steps: 727
14:29:43,179  64, step: 10, E: 0.0, Total_steps: 737
14:29:44,764  65, step: 10, E: 0.0, Total_steps: 747
14:29:45,644  66, step: 10, E: 0.0, Total_steps: 757
