07:54:02,63  0, step: 45, E: 0.0, Total_steps: 45
07:54:02,580  1, step: 22, E: 0.0, Total_steps: 67
07:54:03,480  2, step: 40, E: 0.0, Total_steps: 107
07:54:06,358  3, step: 77, E: 0.0, Total_steps: 184
07:54:07,678  4, step: 25, E: 0.0, Total_steps: 209
07:54:16,588  5, step: 77, E: 0.0, Total_steps: 286
07:54:31,717  6, step: 102, E: 0.0, Total_steps: 388
07:54:36,962  7, step: 33, E: 0.0, Total_steps: 421
07:54:41,490  8, step: 29, E: 0.0, Total_steps: 450
07:54:50,79  9, step: 55, E: 0.0, Total_steps: 505
07:55:02,974  10, step: 33, E: 0.0, Total_steps: 538
07:55:05,459  11, step: 16, E: 0.0, Total_steps: 554
07:55:14,256  12, step: 57, E: 0.0, Total_steps: 611
07:55:22,423  13, step: 51, E: 0.0, Total_steps: 662
07:55:26,960  14, step: 29, E: 0.0, Total_steps: 691
07:55:35,363  15, step: 37, E: 0.0, Total_steps: 728
07:55:39,70  16, step: 24, E: 0.0, Total_steps: 752
07:55:41,817  17, step: 18, E: 0.0, Total_steps: 770
07:55:43,534  18, step: 11, E: 0.0, Total_steps: 781
07:55:46,404  19, step: 17, E: 0.0, Total_steps: 798
07:55:52,115  20, step: 19, E: 0.0, Total_steps: 817
07:55:54,7  21, step: 12, E: 0.0, Total_steps: 829
07:55:55,403  22, step: 9, E: 0.0, Total_steps: 838
07:55:56,790  23, step: 9, E: 0.0, Total_steps: 847
07:55:59,121  24, step: 15, E: 0.0, Total_steps: 862
07:56:03,62  25, step: 11, E: 0.0, Total_steps: 873
07:56:05,221  26, step: 14, E: 0.0, Total_steps: 887
07:56:09,276  27, step: 26, E: 0.0, Total_steps: 913
07:56:11,346  28, step: 13, E: 0.0, Total_steps: 926
07:56:13,722  29, step: 14, E: 0.0, Total_steps: 940
07:56:18,280  30, step: 13, E: 0.0, Total_steps: 953
07:56:20,647  31, step: 15, E: 0.0, Total_steps: 968
07:56:22,342  32, step: 11, E: 0.0, Total_steps: 979
07:56:23,886  33, step: 10, E: 0.0, Total_steps: 989
07:56:25,489  34, step: 10, E: 0.0, Total_steps: 999
07:56:28,703  35, step: 9, E: 0.0, Total_steps: 1008
07:56:29,938  36, step: 8, E: 0.0, Total_steps: 1016
07:56:31,189  37, step: 8, E: 0.0, Total_steps: 1024
07:56:32,735  38, step: 10, E: 0.0, Total_steps: 1034
07:56:34,156  39, step: 9, E: 0.0, Total_steps: 1043
07:56:37,360  40, step: 8, E: 0.0, Total_steps: 1051
07:56:38,901  41, step: 10, E: 0.0, Total_steps: 1061
07:56:40,773  42, step: 12, E: 0.0, Total_steps: 1073
07:56:42,197  43, step: 9, E: 0.0, Total_steps: 1082
07:56:43,785  44, step: 10, E: 0.0, Total_steps: 1092
07:56:47,88  45, step: 9, E: 0.0, Total_steps: 1101
07:56:48,457  46, step: 9, E: 0.0, Total_steps: 1110
07:56:49,972  47, step: 10, E: 0.0, Total_steps: 1120
07:56:51,200  48, step: 8, E: 0.0, Total_steps: 1128
07:56:52,738  49, step: 10, E: 0.0, Total_steps: 1138
07:56:55,910  50, step: 9, E: 0.0, Total_steps: 1147
07:56:57,130  51, step: 8, E: 0.0, Total_steps: 1155
07:56:58,711  52, step: 10, E: 0.0, Total_steps: 1165
