13:10:27,211  0, step: 10, E: 0.0, Total_steps: 10
13:10:27,222  1, step: 9, E: 0.0, Total_steps: 19
13:10:27,231  2, step: 9, E: 0.6666666666666666, Total_steps: 28
13:10:27,242  3, step: 9, E: 0.5555555555555556, Total_steps: 37
13:10:27,257  4, step: 10, E: 0.0, Total_steps: 47
13:10:27,266  5, step: 8, E: 0.625, Total_steps: 55
13:10:27,281  6, step: 10, E: 0.6, Total_steps: 65
13:10:27,292  7, step: 9, E: 0.6666666666666666, Total_steps: 74
13:10:27,305  8, step: 10, E: 0.5, Total_steps: 84
13:10:27,317  9, step: 9, E: 0.1111111111111111, Total_steps: 93
13:10:27,329  10, step: 9, E: 0.5555555555555556, Total_steps: 102
13:10:27,340  11, step: 8, E: 0.0, Total_steps: 110
13:10:27,356  12, step: 11, E: 0.0, Total_steps: 121
13:10:27,370  13, step: 9, E: 0.5555555555555556, Total_steps: 130
13:10:27,383  14, step: 10, E: 0.6, Total_steps: 140
13:10:27,395  15, step: 9, E: 0.5555555555555556, Total_steps: 149
13:10:27,411  16, step: 11, E: 0.0, Total_steps: 160
13:10:27,422  17, step: 10, E: 0.0, Total_steps: 170
13:10:27,438  18, step: 10, E: 0.6, Total_steps: 180
13:10:27,447  19, step: 8, E: 0.625, Total_steps: 188
13:10:27,458  20, step: 10, E: 0.0, Total_steps: 198
13:10:27,472  21, step: 9, E: 0.6666666666666666, Total_steps: 207
13:10:27,482  22, step: 10, E: 0.0, Total_steps: 217
13:10:27,494  23, step: 10, E: 0.6, Total_steps: 227
13:10:27,509  24, step: 9, E: 0.6666666666666666, Total_steps: 236
13:10:27,520  25, step: 10, E: 0.1, Total_steps: 246
13:10:27,534  26, step: 10, E: 0.6, Total_steps: 256
13:10:27,543  27, step: 9, E: 0.5555555555555556, Total_steps: 265
13:10:27,555  28, step: 9, E: 0.6666666666666666, Total_steps: 274
13:10:27,567  29, step: 9, E: 0.6666666666666666, Total_steps: 283
13:10:27,578  30, step: 11, E: 0.0, Total_steps: 294
13:10:27,684  31, step: 9, E: 0.0, Total_steps: 303
13:10:27,818  32, step: 10, E: 0.0, Total_steps: 313
13:10:27,919  33, step: 9, E: 0.0, Total_steps: 322
13:10:28,39  34, step: 10, E: 0.0, Total_steps: 332
13:10:28,248  35, step: 10, E: 0.1, Total_steps: 342
13:10:28,364  36, step: 10, E: 0.0, Total_steps: 352
13:10:28,489  37, step: 10, E: 0.0, Total_steps: 362
13:10:28,604  38, step: 10, E: 0.0, Total_steps: 372
13:10:28,711  39, step: 10, E: 0.0, Total_steps: 382
13:10:28,798  40, step: 8, E: 0.0, Total_steps: 390
13:10:28,907  41, step: 10, E: 0.0, Total_steps: 400
13:10:28,995  42, step: 9, E: 0.0, Total_steps: 409
13:10:29,89  43, step: 9, E: 0.0, Total_steps: 418
13:10:29,212  44, step: 8, E: 0.0, Total_steps: 426
13:10:29,302  45, step: 9, E: 0.0, Total_steps: 435
13:10:29,393  46, step: 9, E: 0.0, Total_steps: 444
13:10:29,533  47, step: 9, E: 0.0, Total_steps: 453
13:10:29,666  48, step: 9, E: 0.0, Total_steps: 462
13:10:29,802  49, step: 10, E: 0.0, Total_steps: 472
13:10:29,980  50, step: 10, E: 0.0, Total_steps: 482
13:10:30,149  51, step: 9, E: 0.0, Total_steps: 491
13:10:30,337  52, step: 8, E: 0.0, Total_steps: 499
13:10:30,504  53, step: 10, E: 0.0, Total_steps: 509
