01:42:00,134  0, step: 16, E: 0.3125, Total_steps: 16
01:42:00,327  1, step: 14, E: 0.35714285714285715, Total_steps: 30
01:42:00,473  2, step: 12, E: 0.16666666666666666, Total_steps: 42
01:42:00,627  3, step: 13, E: 0.23076923076923078, Total_steps: 55
01:42:00,881  4, step: 20, E: 0.45, Total_steps: 75
01:42:01,189  5, step: 21, E: 0.3333333333333333, Total_steps: 96
01:42:01,445  6, step: 17, E: 0.47058823529411764, Total_steps: 113
01:42:01,582  7, step: 11, E: 0.18181818181818182, Total_steps: 124
01:42:01,749  8, step: 12, E: 0.25, Total_steps: 136
01:42:02,230  9, step: 32, E: 0.59375, Total_steps: 168
01:42:03,569  10, step: 10, E: 0.1, Total_steps: 178
01:42:03,771  11, step: 16, E: 0.3125, Total_steps: 194
01:42:03,968  12, step: 16, E: 0.625, Total_steps: 210
01:42:04,155  13, step: 15, E: 0.4666666666666667, Total_steps: 225
01:42:04,475  14, step: 21, E: 0.42857142857142855, Total_steps: 246
01:42:04,758  15, step: 23, E: 0.5217391304347826, Total_steps: 269
01:42:04,885  16, step: 12, E: 0.16666666666666666, Total_steps: 281
01:42:05,21  17, step: 10, E: 0.1, Total_steps: 291
01:42:05,514  18, step: 18, E: 0.5, Total_steps: 309
01:42:06,76  19, step: 13, E: 0.3076923076923077, Total_steps: 322
01:42:07,962  20, step: 18, E: 0.3333333333333333, Total_steps: 340
01:42:08,415  21, step: 11, E: 0.18181818181818182, Total_steps: 351
01:42:08,863  22, step: 11, E: 0.09090909090909091, Total_steps: 362
01:42:09,141  23, step: 9, E: 0.3333333333333333, Total_steps: 371
01:42:09,580  24, step: 10, E: 0.0, Total_steps: 381
01:42:09,985  25, step: 10, E: 0.0, Total_steps: 391
01:42:10,435  26, step: 10, E: 0.0, Total_steps: 401
01:42:10,944  27, step: 13, E: 0.15384615384615385, Total_steps: 414
01:42:11,333  28, step: 10, E: 0.0, Total_steps: 424
01:42:11,709  29, step: 10, E: 0.1, Total_steps: 434
01:42:13,129  30, step: 8, E: 0.0, Total_steps: 442
01:42:13,619  31, step: 9, E: 0.0, Total_steps: 451
01:42:14,144  32, step: 9, E: 0.0, Total_steps: 460
01:42:14,448  33, step: 8, E: 0.0, Total_steps: 468
01:42:14,915  34, step: 9, E: 0.0, Total_steps: 477
01:42:15,408  35, step: 10, E: 0.1, Total_steps: 487
01:42:15,800  36, step: 11, E: 0.09090909090909091, Total_steps: 498
01:42:16,222  37, step: 11, E: 0.09090909090909091, Total_steps: 509
01:42:16,673  38, step: 10, E: 0.0, Total_steps: 519
01:42:17,189  39, step: 10, E: 0.0, Total_steps: 529
01:42:18,622  40, step: 10, E: 0.0, Total_steps: 539
01:42:19,113  41, step: 10, E: 0.0, Total_steps: 549
01:42:19,547  42, step: 9, E: 0.0, Total_steps: 558
01:42:19,989  43, step: 13, E: 0.15384615384615385, Total_steps: 571
01:42:20,333  44, step: 9, E: 0.0, Total_steps: 580
01:42:21,143  45, step: 10, E: 0.0, Total_steps: 590
01:42:21,838  46, step: 16, E: 0.1875, Total_steps: 606
01:42:22,249  47, step: 9, E: 0.0, Total_steps: 615
01:42:22,660  48, step: 10, E: 0.0, Total_steps: 625
01:42:23,52  49, step: 10, E: 0.1, Total_steps: 635
01:42:24,470  50, step: 11, E: 0.2727272727272727, Total_steps: 646
01:42:25,237  51, step: 15, E: 0.2, Total_steps: 661
01:42:25,826  52, step: 10, E: 0.1, Total_steps: 671
01:42:26,408  53, step: 14, E: 0.14285714285714285, Total_steps: 685
01:42:26,887  54, step: 11, E: 0.09090909090909091, Total_steps: 696
01:42:27,347  55, step: 9, E: 0.0, Total_steps: 705
01:42:27,774  56, step: 9, E: 0.0, Total_steps: 714
01:42:28,81  57, step: 9, E: 0.1111111111111111, Total_steps: 723
01:42:28,513  58, step: 10, E: 0.1, Total_steps: 733
01:42:28,985  59, step: 11, E: 0.09090909090909091, Total_steps: 744
01:42:30,597  60, step: 12, E: 0.16666666666666666, Total_steps: 756
01:42:31,99  61, step: 12, E: 0.16666666666666666, Total_steps: 768
01:42:31,861  62, step: 15, E: 0.26666666666666666, Total_steps: 783
01:42:32,339  63, step: 10, E: 0.1, Total_steps: 793
01:42:33,39  64, step: 10, E: 0.0, Total_steps: 803
01:42:33,490  65, step: 11, E: 0.09090909090909091, Total_steps: 814
01:42:33,851  66, step: 9, E: 0.0, Total_steps: 823
01:42:34,301  67, step: 9, E: 0.0, Total_steps: 832
01:42:34,630  68, step: 10, E: 0.1, Total_steps: 842
01:42:35,69  69, step: 11, E: 0.2727272727272727, Total_steps: 853
01:42:36,714  70, step: 10, E: 0.1, Total_steps: 863
01:42:37,380  71, step: 11, E: 0.09090909090909091, Total_steps: 874
