15:08:30,949  0, step: 12, E: 0.25, Total_steps: 12
15:08:30,961  1, step: 9, E: 0.0, Total_steps: 21
15:08:30,976  2, step: 16, E: 0.3125, Total_steps: 37
15:08:30,989  3, step: 13, E: 0.3076923076923077, Total_steps: 50
15:08:31,5  4, step: 17, E: 0.35294117647058826, Total_steps: 67
15:08:31,44  5, step: 45, E: 0.37777777777777777, Total_steps: 112
15:08:31,54  6, step: 11, E: 0.2727272727272727, Total_steps: 123
15:08:31,64  7, step: 13, E: 0.3076923076923077, Total_steps: 136
15:08:31,72  8, step: 10, E: 0.2, Total_steps: 146
15:08:31,83  9, step: 12, E: 0.3333333333333333, Total_steps: 158
15:08:31,143  10, step: 14, E: 0.35714285714285715, Total_steps: 172
15:08:31,156  11, step: 14, E: 0.21428571428571427, Total_steps: 186
15:08:31,177  12, step: 19, E: 0.3684210526315789, Total_steps: 205
15:08:31,192  13, step: 14, E: 0.35714285714285715, Total_steps: 219
15:08:31,200  14, step: 9, E: 0.2222222222222222, Total_steps: 228
15:08:31,231  15, step: 37, E: 0.4594594594594595, Total_steps: 265
15:08:31,240  16, step: 10, E: 0.2, Total_steps: 275
15:08:31,251  17, step: 12, E: 0.16666666666666666, Total_steps: 287
15:08:31,448  18, step: 21, E: 0.23809523809523808, Total_steps: 308
15:08:31,657  19, step: 14, E: 0.2857142857142857, Total_steps: 322
15:08:31,922  20, step: 22, E: 0.2727272727272727, Total_steps: 344
15:08:32,22  21, step: 10, E: 0.0, Total_steps: 354
15:08:32,112  22, step: 11, E: 0.36363636363636365, Total_steps: 365
15:08:32,218  23, step: 10, E: 0.0, Total_steps: 375
15:08:32,305  24, step: 10, E: 0.1, Total_steps: 385
15:08:32,404  25, step: 10, E: 0.1, Total_steps: 395
15:08:32,510  26, step: 10, E: 0.0, Total_steps: 405
15:08:32,646  27, step: 11, E: 0.0, Total_steps: 416
15:08:32,758  28, step: 9, E: 0.0, Total_steps: 425
15:08:32,892  29, step: 11, E: 0.09090909090909091, Total_steps: 436
15:08:33,49  30, step: 12, E: 0.25, Total_steps: 448
15:08:33,154  31, step: 10, E: 0.1, Total_steps: 458
15:08:33,238  32, step: 9, E: 0.1111111111111111, Total_steps: 467
15:08:33,314  33, step: 10, E: 0.0, Total_steps: 477
15:08:33,385  34, step: 9, E: 0.0, Total_steps: 486
15:08:33,465  35, step: 11, E: 0.09090909090909091, Total_steps: 497
15:08:33,542  36, step: 9, E: 0.1111111111111111, Total_steps: 506
15:08:33,633  37, step: 8, E: 0.0, Total_steps: 514
15:08:33,753  38, step: 9, E: 0.1111111111111111, Total_steps: 523
15:08:33,842  39, step: 8, E: 0.0, Total_steps: 531
15:08:34,10  40, step: 13, E: 0.3076923076923077, Total_steps: 544
15:08:34,103  41, step: 10, E: 0.1, Total_steps: 554
15:08:34,191  42, step: 10, E: 0.2, Total_steps: 564
15:08:34,283  43, step: 10, E: 0.1, Total_steps: 574
15:08:34,373  44, step: 8, E: 0.0, Total_steps: 582
15:08:34,453  45, step: 10, E: 0.0, Total_steps: 592
15:08:34,558  46, step: 11, E: 0.18181818181818182, Total_steps: 603
15:08:34,649  47, step: 9, E: 0.0, Total_steps: 612
15:08:34,771  48, step: 10, E: 0.0, Total_steps: 622
15:08:34,890  49, step: 12, E: 0.16666666666666666, Total_steps: 634
15:08:35,14  50, step: 8, E: 0.0, Total_steps: 642
15:08:35,236  51, step: 11, E: 0.2727272727272727, Total_steps: 653
15:08:35,327  52, step: 11, E: 0.18181818181818182, Total_steps: 664
15:08:35,447  53, step: 12, E: 0.16666666666666666, Total_steps: 676
15:08:35,530  54, step: 10, E: 0.1, Total_steps: 686
15:08:35,606  55, step: 9, E: 0.0, Total_steps: 695
15:08:35,702  56, step: 11, E: 0.18181818181818182, Total_steps: 706
15:08:35,897  57, step: 11, E: 0.18181818181818182, Total_steps: 717
15:08:35,993  58, step: 10, E: 0.0, Total_steps: 727
15:08:36,82  59, step: 9, E: 0.0, Total_steps: 736
15:08:36,238  60, step: 11, E: 0.09090909090909091, Total_steps: 747
15:08:36,329  61, step: 10, E: 0.2, Total_steps: 757
15:08:36,512  62, step: 14, E: 0.21428571428571427, Total_steps: 771
15:08:36,571  63, step: 8, E: 0.25, Total_steps: 779
15:08:36,732  64, step: 14, E: 0.2857142857142857, Total_steps: 793
15:08:36,823  65, step: 11, E: 0.18181818181818182, Total_steps: 804
15:08:36,948  66, step: 13, E: 0.3076923076923077, Total_steps: 817
15:08:37,71  67, step: 14, E: 0.21428571428571427, Total_steps: 831
15:08:37,171  68, step: 11, E: 0.18181818181818182, Total_steps: 842
15:08:37,321  69, step: 13, E: 0.3076923076923077, Total_steps: 855
15:08:37,450  70, step: 10, E: 0.2, Total_steps: 865
15:08:37,547  71, step: 10, E: 0.3, Total_steps: 875
15:08:37,641  72, step: 10, E: 0.1, Total_steps: 885
15:08:37,713  73, step: 9, E: 0.1111111111111111, Total_steps: 894
15:08:37,799  74, step: 10, E: 0.1, Total_steps: 904
15:08:37,901  75, step: 10, E: 0.2, Total_steps: 914
15:08:38,18  76, step: 9, E: 0.1111111111111111, Total_steps: 923
15:08:38,124  77, step: 13, E: 0.3076923076923077, Total_steps: 936
15:08:38,212  78, step: 9, E: 0.2222222222222222, Total_steps: 945
15:08:38,331  79, step: 13, E: 0.3076923076923077, Total_steps: 958
15:08:38,503  80, step: 10, E: 0.1, Total_steps: 968
15:08:38,657  81, step: 10, E: 0.2, Total_steps: 978
15:08:38,773  82, step: 12, E: 0.25, Total_steps: 990
15:08:38,853  83, step: 9, E: 0.1111111111111111, Total_steps: 999
15:08:38,969  84, step: 12, E: 0.3333333333333333, Total_steps: 1011
15:08:39,79  85, step: 12, E: 0.25, Total_steps: 1023
15:08:39,168  86, step: 9, E: 0.2222222222222222, Total_steps: 1032
15:08:39,279  87, step: 13, E: 0.38461538461538464, Total_steps: 1045
15:08:39,370  88, step: 11, E: 0.18181818181818182, Total_steps: 1056
15:08:39,460  89, step: 10, E: 0.2, Total_steps: 1066
15:08:39,670  90, step: 13, E: 0.3076923076923077, Total_steps: 1079
15:08:39,800  91, step: 10, E: 0.2, Total_steps: 1089
15:08:40,33  92, step: 17, E: 0.4117647058823529, Total_steps: 1106
15:08:40,148  93, step: 10, E: 0.3, Total_steps: 1116
15:08:40,395  94, step: 9, E: 0.1111111111111111, Total_steps: 1125
