10:54:31,918  0, step: 17, E: 0.35294117647058826, Total_steps: 17
10:54:31,974  1, step: 10, E: 0.1, Total_steps: 27
10:54:32,30  2, step: 10, E: 0.2, Total_steps: 37
10:54:32,111  3, step: 13, E: 0.15384615384615385, Total_steps: 50
10:54:32,163  4, step: 10, E: 0.4, Total_steps: 60
10:54:32,222  5, step: 11, E: 0.18181818181818182, Total_steps: 71
10:54:32,277  6, step: 10, E: 0.2, Total_steps: 81
10:54:32,332  7, step: 10, E: 0.2, Total_steps: 91
10:54:32,395  8, step: 12, E: 0.25, Total_steps: 103
10:54:32,456  9, step: 12, E: 0.3333333333333333, Total_steps: 115
10:54:32,995  10, step: 11, E: 0.45454545454545453, Total_steps: 126
10:54:33,49  11, step: 9, E: 0.0, Total_steps: 135
10:54:33,110  12, step: 11, E: 0.18181818181818182, Total_steps: 146
10:54:33,168  13, step: 12, E: 0.08333333333333333, Total_steps: 158
10:54:33,225  14, step: 12, E: 0.25, Total_steps: 170
10:54:33,278  15, step: 12, E: 0.16666666666666666, Total_steps: 182
10:54:33,332  16, step: 12, E: 0.25, Total_steps: 194
10:54:33,378  17, step: 10, E: 0.2, Total_steps: 204
10:54:33,423  18, step: 10, E: 0.2, Total_steps: 214
10:54:33,495  19, step: 15, E: 0.3333333333333333, Total_steps: 229
10:54:34,34  20, step: 16, E: 0.25, Total_steps: 245
10:54:34,109  21, step: 12, E: 0.25, Total_steps: 257
10:54:34,162  22, step: 10, E: 0.1, Total_steps: 267
10:54:34,224  23, step: 12, E: 0.25, Total_steps: 279
10:54:34,295  24, step: 14, E: 0.21428571428571427, Total_steps: 293
10:54:34,466  25, step: 10, E: 0.2, Total_steps: 303
10:54:34,763  26, step: 10, E: 0.1, Total_steps: 313
10:54:35,63  27, step: 11, E: 0.09090909090909091, Total_steps: 324
10:54:35,346  28, step: 11, E: 0.09090909090909091, Total_steps: 335
10:54:35,852  29, step: 13, E: 0.15384615384615385, Total_steps: 348
10:54:36,598  30, step: 8, E: 0.0, Total_steps: 356
10:54:36,914  31, step: 11, E: 0.0, Total_steps: 367
10:54:37,766  32, step: 11, E: 0.09090909090909091, Total_steps: 378
10:54:38,141  33, step: 12, E: 0.08333333333333333, Total_steps: 390
10:54:38,353  34, step: 8, E: 0.0, Total_steps: 398
10:54:38,642  35, step: 8, E: 0.0, Total_steps: 406
10:54:38,918  36, step: 9, E: 0.0, Total_steps: 415
10:54:39,213  37, step: 9, E: 0.0, Total_steps: 424
10:54:39,473  38, step: 8, E: 0.0, Total_steps: 432
10:54:39,907  39, step: 11, E: 0.0, Total_steps: 443
10:54:40,850  40, step: 10, E: 0.0, Total_steps: 453
10:54:41,178  41, step: 10, E: 0.0, Total_steps: 463
10:54:41,518  42, step: 10, E: 0.0, Total_steps: 473
10:54:41,828  43, step: 10, E: 0.0, Total_steps: 483
10:54:42,142  44, step: 9, E: 0.0, Total_steps: 492
10:54:42,408  45, step: 9, E: 0.0, Total_steps: 501
10:54:42,658  46, step: 10, E: 0.0, Total_steps: 511
10:54:42,882  47, step: 9, E: 0.0, Total_steps: 520
10:54:43,197  48, step: 9, E: 0.0, Total_steps: 529
10:54:43,572  49, step: 10, E: 0.0, Total_steps: 539
10:54:44,381  50, step: 10, E: 0.0, Total_steps: 549
10:54:44,697  51, step: 9, E: 0.0, Total_steps: 558
10:54:44,956  52, step: 9, E: 0.0, Total_steps: 567
10:54:45,232  53, step: 10, E: 0.0, Total_steps: 577
10:54:45,473  54, step: 9, E: 0.0, Total_steps: 586
10:54:45,749  55, step: 9, E: 0.0, Total_steps: 595
10:54:46,66  56, step: 10, E: 0.0, Total_steps: 605
10:54:46,381  57, step: 10, E: 0.1, Total_steps: 615
10:54:46,671  58, step: 10, E: 0.0, Total_steps: 625
10:54:46,954  59, step: 9, E: 0.0, Total_steps: 634
10:54:47,652  60, step: 8, E: 0.0, Total_steps: 642
10:54:47,938  61, step: 10, E: 0.0, Total_steps: 652
10:54:48,160  62, step: 9, E: 0.0, Total_steps: 661
10:54:48,422  63, step: 10, E: 0.0, Total_steps: 671
10:54:48,673  64, step: 9, E: 0.0, Total_steps: 680
10:54:48,981  65, step: 10, E: 0.0, Total_steps: 690
10:54:49,277  66, step: 8, E: 0.125, Total_steps: 698
10:54:49,583  67, step: 10, E: 0.0, Total_steps: 708
10:54:49,957  68, step: 11, E: 0.09090909090909091, Total_steps: 719
10:54:50,296  69, step: 9, E: 0.0, Total_steps: 728
10:54:51,413  70, step: 10, E: 0.0, Total_steps: 738
10:54:51,864  71, step: 10, E: 0.0, Total_steps: 748
10:54:52,304  72, step: 9, E: 0.1111111111111111, Total_steps: 757
10:54:52,606  73, step: 9, E: 0.0, Total_steps: 766
10:54:52,927  74, step: 9, E: 0.0, Total_steps: 775
10:54:53,314  75, step: 9, E: 0.0, Total_steps: 784
10:54:53,706  76, step: 10, E: 0.0, Total_steps: 794
10:54:54,138  77, step: 10, E: 0.0, Total_steps: 804
10:54:54,465  78, step: 10, E: 0.1, Total_steps: 814
10:54:54,836  79, step: 10, E: 0.0, Total_steps: 824
