13:18:42,354  0, step: 20, E: 0.55, Total_steps: 20
13:18:42,463  1, step: 21, E: 0.47619047619047616, Total_steps: 41
13:18:42,750  2, step: 43, E: 0.46511627906976744, Total_steps: 84
13:18:42,838  3, step: 14, E: 0.5714285714285714, Total_steps: 98
13:18:42,993  4, step: 27, E: 0.3333333333333333, Total_steps: 125
13:18:43,179  5, step: 36, E: 0.4722222222222222, Total_steps: 161
13:18:43,357  6, step: 38, E: 0.4473684210526316, Total_steps: 199
13:18:43,579  7, step: 46, E: 0.41304347826086957, Total_steps: 245
13:18:43,709  8, step: 26, E: 0.5, Total_steps: 271
13:18:43,792  9, step: 15, E: 0.4666666666666667, Total_steps: 286
13:18:47,710  10, step: 32, E: 0.40625, Total_steps: 318
13:18:48,723  11, step: 28, E: 0.32142857142857145, Total_steps: 346
13:18:49,776  12, step: 39, E: 0.358974358974359, Total_steps: 385
13:18:50,343  13, step: 25, E: 0.52, Total_steps: 410
13:18:51,356  14, step: 15, E: 0.2, Total_steps: 425
13:18:52,483  15, step: 12, E: 0.25, Total_steps: 437
13:18:52,836  16, step: 9, E: 0.0, Total_steps: 446
13:18:53,194  17, step: 14, E: 0.21428571428571427, Total_steps: 460
13:18:53,481  18, step: 12, E: 0.16666666666666666, Total_steps: 472
13:18:53,791  19, step: 9, E: 0.1111111111111111, Total_steps: 481
13:18:54,789  20, step: 18, E: 0.2777777777777778, Total_steps: 499
13:18:55,107  21, step: 12, E: 0.25, Total_steps: 511
13:18:55,648  22, step: 10, E: 0.2, Total_steps: 521
13:18:55,864  23, step: 11, E: 0.09090909090909091, Total_steps: 532
13:18:56,174  24, step: 15, E: 0.2, Total_steps: 547
13:18:56,686  25, step: 17, E: 0.23529411764705882, Total_steps: 564
13:18:56,892  26, step: 9, E: 0.0, Total_steps: 573
13:18:57,109  27, step: 10, E: 0.0, Total_steps: 583
13:18:57,325  28, step: 10, E: 0.1, Total_steps: 593
13:18:57,524  29, step: 10, E: 0.2, Total_steps: 603
13:18:58,436  30, step: 11, E: 0.0, Total_steps: 614
13:18:58,837  31, step: 12, E: 0.25, Total_steps: 626
13:18:59,126  32, step: 12, E: 0.08333333333333333, Total_steps: 638
13:18:59,509  33, step: 13, E: 0.3076923076923077, Total_steps: 651
13:18:59,817  34, step: 10, E: 0.1, Total_steps: 661
13:19:00,117  35, step: 14, E: 0.21428571428571427, Total_steps: 675
13:19:00,446  36, step: 16, E: 0.25, Total_steps: 691
13:19:00,712  37, step: 9, E: 0.1111111111111111, Total_steps: 700
13:19:00,964  38, step: 12, E: 0.16666666666666666, Total_steps: 712
13:19:01,186  39, step: 9, E: 0.1111111111111111, Total_steps: 721
13:19:02,142  40, step: 13, E: 0.38461538461538464, Total_steps: 734
13:19:02,386  41, step: 10, E: 0.2, Total_steps: 744
13:19:02,633  42, step: 11, E: 0.2727272727272727, Total_steps: 755
13:19:02,887  43, step: 12, E: 0.16666666666666666, Total_steps: 767
13:19:03,101  44, step: 10, E: 0.1, Total_steps: 777
13:19:03,344  45, step: 12, E: 0.16666666666666666, Total_steps: 789
13:19:03,840  46, step: 13, E: 0.15384615384615385, Total_steps: 802
13:19:04,61  47, step: 10, E: 0.2, Total_steps: 812
13:19:04,373  48, step: 10, E: 0.2, Total_steps: 822
13:19:04,709  49, step: 12, E: 0.16666666666666666, Total_steps: 834
13:19:05,567  50, step: 9, E: 0.1111111111111111, Total_steps: 843
13:19:05,827  51, step: 10, E: 0.0, Total_steps: 853
13:19:06,57  52, step: 11, E: 0.09090909090909091, Total_steps: 864
13:19:06,266  53, step: 10, E: 0.0, Total_steps: 874
13:19:06,525  54, step: 9, E: 0.0, Total_steps: 883
13:19:07,131  55, step: 9, E: 0.1111111111111111, Total_steps: 892
13:19:07,402  56, step: 9, E: 0.1111111111111111, Total_steps: 901
13:19:07,618  57, step: 8, E: 0.0, Total_steps: 909
13:19:08,188  58, step: 10, E: 0.1, Total_steps: 919
13:19:08,705  59, step: 8, E: 0.0, Total_steps: 927
13:19:09,766  60, step: 9, E: 0.1111111111111111, Total_steps: 936
13:19:10,39  61, step: 10, E: 0.1, Total_steps: 946
