17:54:23,734  0, step: 8, E: 0.0, Total_steps: 8
17:54:23,847  1, step: 12, E: 0.08333333333333333, Total_steps: 20
17:54:23,950  2, step: 10, E: 0.1, Total_steps: 30
17:54:24,10  3, step: 10, E: 0.0, Total_steps: 40
17:54:24,78  4, step: 9, E: 0.1111111111111111, Total_steps: 49
17:54:24,141  5, step: 9, E: 0.0, Total_steps: 58
17:54:24,190  6, step: 9, E: 0.1111111111111111, Total_steps: 67
17:54:24,275  7, step: 10, E: 0.1, Total_steps: 77
17:54:24,340  8, step: 10, E: 0.1, Total_steps: 87
17:54:24,438  9, step: 11, E: 0.09090909090909091, Total_steps: 98
17:54:25,322  10, step: 13, E: 0.15384615384615385, Total_steps: 111
17:54:25,495  11, step: 16, E: 0.1875, Total_steps: 127
17:54:25,575  12, step: 11, E: 0.09090909090909091, Total_steps: 138
17:54:25,631  13, step: 9, E: 0.0, Total_steps: 147
17:54:25,726  14, step: 10, E: 0.1, Total_steps: 157
17:54:25,816  15, step: 10, E: 0.0, Total_steps: 167
17:54:25,900  16, step: 9, E: 0.0, Total_steps: 176
17:54:25,997  17, step: 14, E: 0.21428571428571427, Total_steps: 190
17:54:26,112  18, step: 10, E: 0.1, Total_steps: 200
17:54:26,203  19, step: 10, E: 0.0, Total_steps: 210
17:54:26,980  20, step: 13, E: 0.23076923076923078, Total_steps: 223
17:54:27,70  21, step: 10, E: 0.1, Total_steps: 233
17:54:27,151  22, step: 11, E: 0.09090909090909091, Total_steps: 244
17:54:27,237  23, step: 9, E: 0.0, Total_steps: 253
17:54:27,311  24, step: 9, E: 0.0, Total_steps: 262
17:54:27,391  25, step: 9, E: 0.0, Total_steps: 271
17:54:27,461  26, step: 9, E: 0.1111111111111111, Total_steps: 280
17:54:27,575  27, step: 13, E: 0.15384615384615385, Total_steps: 293
17:54:27,810  28, step: 12, E: 0.16666666666666666, Total_steps: 305
17:54:28,12  29, step: 8, E: 0.0, Total_steps: 313
17:54:29,102  30, step: 14, E: 0.2857142857142857, Total_steps: 327
17:54:29,418  31, step: 11, E: 0.2727272727272727, Total_steps: 338
17:54:29,835  32, step: 12, E: 0.08333333333333333, Total_steps: 350
17:54:30,462  33, step: 16, E: 0.1875, Total_steps: 366
17:54:30,862  34, step: 12, E: 0.25, Total_steps: 378
17:54:31,178  35, step: 11, E: 0.09090909090909091, Total_steps: 389
17:54:31,502  36, step: 10, E: 0.0, Total_steps: 399
17:54:31,733  37, step: 8, E: 0.0, Total_steps: 407
