21:46:21,317  0, step: 37, E: 0.5405405405405406, Total_steps: 37
21:46:22,183  1, step: 24, E: 0.5, Total_steps: 61
21:46:24,280  2, step: 62, E: 0.4032258064516129, Total_steps: 123
21:46:24,710  3, step: 12, E: 0.75, Total_steps: 135
21:46:25,107  4, step: 13, E: 0.6153846153846154, Total_steps: 148
21:46:27,710  5, step: 14, E: 0.5, Total_steps: 162
21:46:28,696  6, step: 30, E: 0.3333333333333333, Total_steps: 192
21:46:29,157  7, step: 13, E: 0.6153846153846154, Total_steps: 205
21:46:29,808  8, step: 18, E: 0.3888888888888889, Total_steps: 223
21:46:31,147  9, step: 38, E: 0.3684210526315789, Total_steps: 261
21:46:35,114  10, step: 27, E: 0.5185185185185185, Total_steps: 288
21:46:36,898  11, step: 28, E: 0.42857142857142855, Total_steps: 316
21:46:37,860  12, step: 12, E: 0.5833333333333334, Total_steps: 328
21:46:39,969  13, step: 25, E: 0.48, Total_steps: 353
21:46:41,5  14, step: 12, E: 0.6666666666666666, Total_steps: 365
21:46:45,546  15, step: 15, E: 0.6666666666666666, Total_steps: 380
21:46:46,702  16, step: 13, E: 0.38461538461538464, Total_steps: 393
21:46:49,335  17, step: 31, E: 0.41935483870967744, Total_steps: 424
21:46:50,572  18, step: 14, E: 0.35714285714285715, Total_steps: 438
21:46:52,73  19, step: 18, E: 0.4444444444444444, Total_steps: 456
21:46:55,888  20, step: 33, E: 0.3939393939393939, Total_steps: 489
21:46:59,591  21, step: 43, E: 0.4418604651162791, Total_steps: 532
21:47:00,481  22, step: 10, E: 0.1, Total_steps: 542
21:47:01,258  23, step: 9, E: 0.0, Total_steps: 551
21:47:02,619  24, step: 16, E: 0.1875, Total_steps: 567
21:47:04,688  25, step: 11, E: 0.0, Total_steps: 578
21:47:06,49  26, step: 15, E: 0.2, Total_steps: 593
21:47:06,820  27, step: 9, E: 0.1111111111111111, Total_steps: 602
21:47:08,383  28, step: 17, E: 0.29411764705882354, Total_steps: 619
21:47:09,464  29, step: 12, E: 0.25, Total_steps: 631
21:47:11,227  30, step: 8, E: 0.125, Total_steps: 639
21:47:12,174  31, step: 10, E: 0.2, Total_steps: 649
21:47:13,275  32, step: 12, E: 0.16666666666666666, Total_steps: 661
21:47:14,106  33, step: 9, E: 0.0, Total_steps: 670
21:47:14,947  34, step: 9, E: 0.1111111111111111, Total_steps: 679
21:47:16,716  35, step: 10, E: 0.0, Total_steps: 689
21:47:17,510  36, step: 9, E: 0.2222222222222222, Total_steps: 698
21:47:18,352  37, step: 9, E: 0.0, Total_steps: 707
21:47:19,126  38, step: 9, E: 0.2222222222222222, Total_steps: 716
21:47:19,989  39, step: 10, E: 0.0, Total_steps: 726
21:47:21,630  40, step: 8, E: 0.0, Total_steps: 734
21:47:22,632  41, step: 11, E: 0.09090909090909091, Total_steps: 745
21:47:23,453  42, step: 9, E: 0.1111111111111111, Total_steps: 754
21:47:24,343  43, step: 10, E: 0.0, Total_steps: 764
21:47:25,372  44, step: 11, E: 0.09090909090909091, Total_steps: 775
21:47:27,336  45, step: 9, E: 0.0, Total_steps: 784
21:47:28,266  46, step: 9, E: 0.0, Total_steps: 793
21:47:29,224  47, step: 11, E: 0.0, Total_steps: 804
21:47:30,95  48, step: 9, E: 0.0, Total_steps: 813
21:47:31,50  49, step: 10, E: 0.0, Total_steps: 823
21:47:32,752  50, step: 8, E: 0.0, Total_steps: 831
21:47:33,629  51, step: 9, E: 0.0, Total_steps: 840
21:47:34,414  52, step: 9, E: 0.0, Total_steps: 849
21:47:35,169  53, step: 8, E: 0.0, Total_steps: 857
21:47:35,920  54, step: 9, E: 0.1111111111111111, Total_steps: 866
21:47:37,864  55, step: 9, E: 0.0, Total_steps: 875
21:47:38,930  56, step: 11, E: 0.09090909090909091, Total_steps: 886
21:47:39,776  57, step: 9, E: 0.0, Total_steps: 895
21:47:40,634  58, step: 9, E: 0.1111111111111111, Total_steps: 904
21:47:41,305  59, step: 8, E: 0.0, Total_steps: 912
21:47:43,151  60, step: 10, E: 0.0, Total_steps: 922
21:47:43,993  61, step: 9, E: 0.0, Total_steps: 931
21:47:44,926  62, step: 10, E: 0.0, Total_steps: 941
21:47:45,763  63, step: 9, E: 0.0, Total_steps: 950
