09:28:51,958  0, step: 15, E: 0.6666666666666666, Total_steps: 15
09:28:52,557  1, step: 18, E: 0.5555555555555556, Total_steps: 33
09:28:53,291  2, step: 24, E: 0.4166666666666667, Total_steps: 57
09:28:53,668  3, step: 11, E: 0.2727272727272727, Total_steps: 68
09:28:54,611  4, step: 24, E: 0.4166666666666667, Total_steps: 92
09:28:56,154  5, step: 11, E: 0.09090909090909091, Total_steps: 103
09:28:57,816  6, step: 50, E: 0.52, Total_steps: 153
09:28:58,520  7, step: 22, E: 0.36363636363636365, Total_steps: 175
09:28:59,157  8, step: 19, E: 0.3157894736842105, Total_steps: 194
09:28:59,633  9, step: 15, E: 0.3333333333333333, Total_steps: 209
09:29:01,573  10, step: 19, E: 0.42105263157894735, Total_steps: 228
09:29:02,37  11, step: 14, E: 0.21428571428571427, Total_steps: 242
09:29:02,421  12, step: 11, E: 0.18181818181818182, Total_steps: 253
09:29:02,834  13, step: 13, E: 0.6923076923076923, Total_steps: 266
09:29:03,588  14, step: 24, E: 0.4166666666666667, Total_steps: 290
09:29:05,122  15, step: 11, E: 0.7272727272727273, Total_steps: 301
09:29:05,957  16, step: 10, E: 0.3, Total_steps: 311
09:29:07,662  17, step: 19, E: 0.3684210526315789, Total_steps: 330
09:29:08,911  18, step: 14, E: 0.35714285714285715, Total_steps: 344
09:29:10,312  19, step: 17, E: 0.23529411764705882, Total_steps: 361
09:29:12,926  20, step: 14, E: 0.21428571428571427, Total_steps: 375
09:29:14,22  21, step: 10, E: 0.1, Total_steps: 385
09:29:15,203  22, step: 12, E: 0.25, Total_steps: 397
09:29:17,694  23, step: 30, E: 0.26666666666666666, Total_steps: 427
09:29:18,930  24, step: 13, E: 0.15384615384615385, Total_steps: 440
09:29:21,679  25, step: 15, E: 0.2, Total_steps: 455
09:29:22,464  26, step: 8, E: 0.0, Total_steps: 463
09:29:23,454  27, step: 11, E: 0.18181818181818182, Total_steps: 474
09:29:24,115  28, step: 8, E: 0.0, Total_steps: 482
09:29:24,981  29, step: 10, E: 0.1, Total_steps: 492
09:29:26,955  30, step: 10, E: 0.1, Total_steps: 502
09:29:28,509  31, step: 18, E: 0.2777777777777778, Total_steps: 520
09:29:30,264  32, step: 19, E: 0.21052631578947367, Total_steps: 539
09:29:31,381  33, step: 10, E: 0.1, Total_steps: 549
09:29:32,436  34, step: 10, E: 0.1, Total_steps: 559
09:29:34,694  35, step: 8, E: 0.0, Total_steps: 567
09:29:35,523  36, step: 8, E: 0.0, Total_steps: 575
09:29:36,361  37, step: 9, E: 0.0, Total_steps: 584
09:29:37,309  38, step: 10, E: 0.0, Total_steps: 594
09:29:38,323  39, step: 9, E: 0.0, Total_steps: 603
09:29:40,485  40, step: 9, E: 0.0, Total_steps: 612
09:29:41,244  41, step: 8, E: 0.0, Total_steps: 620
09:29:42,528  42, step: 13, E: 0.07692307692307693, Total_steps: 633
09:29:43,496  43, step: 10, E: 0.0, Total_steps: 643
09:29:44,586  44, step: 10, E: 0.1, Total_steps: 653
09:29:47,119  45, step: 9, E: 0.0, Total_steps: 662
09:29:48,643  46, step: 14, E: 0.14285714285714285, Total_steps: 676
09:29:50,367  47, step: 15, E: 0.13333333333333333, Total_steps: 691
09:29:51,539  48, step: 11, E: 0.18181818181818182, Total_steps: 702
09:29:52,515  49, step: 10, E: 0.1, Total_steps: 712
09:29:55,161  50, step: 11, E: 0.09090909090909091, Total_steps: 723
09:29:56,208  51, step: 9, E: 0.0, Total_steps: 732
09:29:57,286  52, step: 11, E: 0.18181818181818182, Total_steps: 743
09:29:58,303  53, step: 10, E: 0.1, Total_steps: 753
09:29:59,360  54, step: 10, E: 0.1, Total_steps: 763
09:30:01,945  55, step: 10, E: 0.1, Total_steps: 773
09:30:02,906  56, step: 9, E: 0.0, Total_steps: 782
09:30:04,17  57, step: 10, E: 0.0, Total_steps: 792
09:30:05,136  58, step: 11, E: 0.09090909090909091, Total_steps: 803
09:30:06,243  59, step: 9, E: 0.1111111111111111, Total_steps: 812
09:30:09,150  60, step: 12, E: 0.16666666666666666, Total_steps: 824
09:30:10,483  61, step: 12, E: 0.16666666666666666, Total_steps: 836
09:30:11,536  62, step: 9, E: 0.0, Total_steps: 845
09:30:12,921  63, step: 11, E: 0.09090909090909091, Total_steps: 856
09:30:14,79  64, step: 10, E: 0.1, Total_steps: 866
09:30:16,937  65, step: 9, E: 0.0, Total_steps: 875
09:30:18,404  66, step: 11, E: 0.18181818181818182, Total_steps: 886
09:30:19,570  67, step: 10, E: 0.1, Total_steps: 896
09:30:20,946  68, step: 12, E: 0.16666666666666666, Total_steps: 908
09:30:22,38  69, step: 9, E: 0.1111111111111111, Total_steps: 917
09:30:24,741  70, step: 10, E: 0.0, Total_steps: 927
09:30:25,801  71, step: 8, E: 0.0, Total_steps: 935
09:30:26,737  72, step: 9, E: 0.0, Total_steps: 944
09:30:27,941  73, step: 10, E: 0.1, Total_steps: 954
09:30:29,403  74, step: 11, E: 0.09090909090909091, Total_steps: 965
09:30:32,84  75, step: 10, E: 0.1, Total_steps: 975
09:30:33,45  76, step: 9, E: 0.0, Total_steps: 984
09:30:33,962  77, step: 8, E: 0.25, Total_steps: 992
09:30:35,196  78, step: 10, E: 0.1, Total_steps: 1002
09:30:36,41  79, step: 8, E: 0.0, Total_steps: 1010
09:30:38,640  80, step: 10, E: 0.0, Total_steps: 1020
09:30:39,881  81, step: 10, E: 0.0, Total_steps: 1030
09:30:41,65  82, step: 11, E: 0.09090909090909091, Total_steps: 1041
09:30:42,265  83, step: 11, E: 0.09090909090909091, Total_steps: 1052
09:30:43,185  84, step: 9, E: 0.0, Total_steps: 1061
09:30:45,887  85, step: 9, E: 0.0, Total_steps: 1070
09:30:47,20  86, step: 9, E: 0.0, Total_steps: 1079
09:30:48,205  87, step: 10, E: 0.0, Total_steps: 1089
09:30:49,315  88, step: 9, E: 0.0, Total_steps: 1098
09:30:50,238  89, step: 8, E: 0.0, Total_steps: 1106
09:30:52,894  90, step: 11, E: 0.18181818181818182, Total_steps: 1117
09:30:53,794  91, step: 9, E: 0.0, Total_steps: 1126
09:30:54,764  92, step: 9, E: 0.0, Total_steps: 1135
09:30:55,973  93, step: 10, E: 0.0, Total_steps: 1145
09:30:57,16  94, step: 9, E: 0.0, Total_steps: 1154
09:30:59,581  95, step: 9, E: 0.0, Total_steps: 1163
09:31:00,732  96, step: 9, E: 0.0, Total_steps: 1172
09:31:01,677  97, step: 8, E: 0.0, Total_steps: 1180
09:31:02,634  98, step: 8, E: 0.0, Total_steps: 1188
09:31:03,755  99, step: 10, E: 0.0, Total_steps: 1198
09:31:06,81  100, step: 9, E: 0.0, Total_steps: 1207
09:31:07,35  101, step: 8, E: 0.0, Total_steps: 1215
09:31:08,147  102, step: 9, E: 0.0, Total_steps: 1224
09:31:09,472  103, step: 9, E: 0.0, Total_steps: 1233
09:31:10,417  104, step: 8, E: 0.0, Total_steps: 1241
09:31:12,933  105, step: 10, E: 0.1, Total_steps: 1251
09:31:14,43  106, step: 9, E: 0.0, Total_steps: 1260
09:31:15,141  107, step: 8, E: 0.0, Total_steps: 1268
09:31:16,182  108, step: 9, E: 0.0, Total_steps: 1277
09:31:17,111  109, step: 8, E: 0.0, Total_steps: 1285
09:31:20,129  110, step: 10, E: 0.2, Total_steps: 1295
09:31:21,360  111, step: 9, E: 0.0, Total_steps: 1304
09:31:22,509  112, step: 8, E: 0.0, Total_steps: 1312
09:31:23,605  113, step: 10, E: 0.0, Total_steps: 1322
09:31:24,784  114, step: 9, E: 0.0, Total_steps: 1331
09:31:27,762  115, step: 9, E: 0.1111111111111111, Total_steps: 1340
09:31:28,901  116, step: 9, E: 0.0, Total_steps: 1349
09:31:29,972  117, step: 9, E: 0.0, Total_steps: 1358
09:31:31,158  118, step: 10, E: 0.0, Total_steps: 1368
09:31:32,364  119, step: 10, E: 0.0, Total_steps: 1378
09:31:34,653  120, step: 9, E: 0.1111111111111111, Total_steps: 1387
09:31:35,914  121, step: 10, E: 0.1, Total_steps: 1397
09:31:36,978  122, step: 9, E: 0.0, Total_steps: 1406
09:31:38,147  123, step: 10, E: 0.0, Total_steps: 1416
09:31:39,250  124, step: 9, E: 0.1111111111111111, Total_steps: 1425
09:31:42,368  125, step: 10, E: 0.0, Total_steps: 1435
09:31:43,491  126, step: 9, E: 0.1111111111111111, Total_steps: 1444
09:31:44,963  127, step: 10, E: 0.0, Total_steps: 1454
09:31:46,124  128, step: 9, E: 0.0, Total_steps: 1463
09:31:47,234  129, step: 9, E: 0.0, Total_steps: 1472
09:31:49,961  130, step: 8, E: 0.0, Total_steps: 1480
09:31:51,145  131, step: 10, E: 0.1, Total_steps: 1490
09:31:52,291  132, step: 9, E: 0.2222222222222222, Total_steps: 1499
09:31:53,630  133, step: 10, E: 0.0, Total_steps: 1509
09:31:54,771  134, step: 9, E: 0.0, Total_steps: 1518
09:31:57,246  135, step: 9, E: 0.0, Total_steps: 1527
09:31:58,233  136, step: 8, E: 0.125, Total_steps: 1535
09:31:59,139  137, step: 8, E: 0.0, Total_steps: 1543
09:32:00,177  138, step: 10, E: 0.0, Total_steps: 1553
09:32:01,388  139, step: 10, E: 0.1, Total_steps: 1563
09:32:04,75  140, step: 8, E: 0.0, Total_steps: 1571
09:32:05,433  141, step: 11, E: 0.09090909090909091, Total_steps: 1582
09:32:06,685  142, step: 10, E: 0.1, Total_steps: 1592
09:32:08,54  143, step: 10, E: 0.0, Total_steps: 1602
09:32:09,386  144, step: 10, E: 0.1, Total_steps: 1612
09:32:12,616  145, step: 12, E: 0.3333333333333333, Total_steps: 1624
09:32:13,869  146, step: 10, E: 0.2, Total_steps: 1634
09:32:14,897  147, step: 8, E: 0.0, Total_steps: 1642
09:32:16,161  148, step: 10, E: 0.0, Total_steps: 1652
09:32:17,754  149, step: 11, E: 0.18181818181818182, Total_steps: 1663
09:32:20,780  150, step: 10, E: 0.2, Total_steps: 1673
09:32:22,21  151, step: 9, E: 0.1111111111111111, Total_steps: 1682
09:32:23,357  152, step: 10, E: 0.1, Total_steps: 1692
09:32:24,542  153, step: 9, E: 0.0, Total_steps: 1701
09:32:26,34  154, step: 10, E: 0.0, Total_steps: 1711
09:32:29,284  155, step: 10, E: 0.0, Total_steps: 1721
09:32:30,799  156, step: 11, E: 0.18181818181818182, Total_steps: 1732
09:32:32,114  157, step: 10, E: 0.1, Total_steps: 1742
09:32:33,282  158, step: 9, E: 0.0, Total_steps: 1751
09:32:34,258  159, step: 8, E: 0.0, Total_steps: 1759
09:32:37,325  160, step: 8, E: 0.0, Total_steps: 1767
09:32:38,547  161, step: 9, E: 0.1111111111111111, Total_steps: 1776
09:32:39,900  162, step: 10, E: 0.0, Total_steps: 1786
09:32:40,954  163, step: 8, E: 0.0, Total_steps: 1794
09:32:42,267  164, step: 10, E: 0.1, Total_steps: 1804
