21:12:54,90  0, step: 12, E: 0.25, Total_steps: 12
21:12:54,568  1, step: 15, E: 0.3333333333333333, Total_steps: 27
21:12:54,971  2, step: 12, E: 0.25, Total_steps: 39
21:12:55,433  3, step: 14, E: 0.21428571428571427, Total_steps: 53
21:12:55,806  4, step: 10, E: 0.2, Total_steps: 63
21:12:56,981  5, step: 8, E: 0.0, Total_steps: 71
21:12:57,357  6, step: 11, E: 0.2727272727272727, Total_steps: 82
21:12:57,703  7, step: 10, E: 0.1, Total_steps: 92
21:12:58,54  8, step: 10, E: 0.2, Total_steps: 102
21:12:58,432  9, step: 11, E: 0.09090909090909091, Total_steps: 113
21:12:59,962  10, step: 14, E: 0.14285714285714285, Total_steps: 127
21:13:00,446  11, step: 14, E: 0.2857142857142857, Total_steps: 141
21:13:00,740  12, step: 9, E: 0.2222222222222222, Total_steps: 150
21:13:01,220  13, step: 14, E: 0.21428571428571427, Total_steps: 164
21:13:01,537  14, step: 9, E: 0.1111111111111111, Total_steps: 173
21:13:03,169  15, step: 15, E: 0.26666666666666666, Total_steps: 188
21:13:03,829  16, step: 19, E: 0.47368421052631576, Total_steps: 207
21:13:04,236  17, step: 12, E: 0.16666666666666666, Total_steps: 219
21:13:04,541  18, step: 9, E: 0.2222222222222222, Total_steps: 228
21:13:04,933  19, step: 11, E: 0.2727272727272727, Total_steps: 239
21:13:06,127  20, step: 10, E: 0.1, Total_steps: 249
21:13:06,543  21, step: 12, E: 0.16666666666666666, Total_steps: 261
21:13:06,926  22, step: 11, E: 0.2727272727272727, Total_steps: 272
21:13:07,231  23, step: 9, E: 0.0, Total_steps: 281
21:13:07,695  24, step: 13, E: 0.23076923076923078, Total_steps: 294
21:13:09,738  25, step: 13, E: 0.3076923076923077, Total_steps: 307
21:13:10,555  26, step: 10, E: 0.0, Total_steps: 317
21:13:11,584  27, step: 11, E: 0.09090909090909091, Total_steps: 328
21:13:12,542  28, step: 11, E: 0.2727272727272727, Total_steps: 339
21:13:13,507  29, step: 12, E: 0.16666666666666666, Total_steps: 351
21:13:15,342  30, step: 9, E: 0.1111111111111111, Total_steps: 360
21:13:16,378  31, step: 12, E: 0.08333333333333333, Total_steps: 372
21:13:17,143  32, step: 9, E: 0.0, Total_steps: 381
21:13:17,843  33, step: 9, E: 0.0, Total_steps: 390
21:13:18,603  34, step: 9, E: 0.1111111111111111, Total_steps: 399
21:13:20,536  35, step: 10, E: 0.0, Total_steps: 409
21:13:21,230  36, step: 8, E: 0.0, Total_steps: 417
21:13:22,22  37, step: 10, E: 0.1, Total_steps: 427
21:13:22,897  38, step: 10, E: 0.1, Total_steps: 437
21:13:24,11  39, step: 13, E: 0.15384615384615385, Total_steps: 450
21:13:25,931  40, step: 11, E: 0.09090909090909091, Total_steps: 461
21:13:26,718  41, step: 9, E: 0.0, Total_steps: 470
21:13:27,414  42, step: 9, E: 0.0, Total_steps: 479
21:13:28,190  43, step: 10, E: 0.0, Total_steps: 489
21:13:29,32  44, step: 10, E: 0.0, Total_steps: 499
21:13:30,838  45, step: 9, E: 0.0, Total_steps: 508
21:13:31,590  46, step: 9, E: 0.0, Total_steps: 517
21:13:32,273  47, step: 8, E: 0.0, Total_steps: 525
21:13:32,994  48, step: 9, E: 0.0, Total_steps: 534
21:13:33,775  49, step: 9, E: 0.0, Total_steps: 543
21:13:35,641  50, step: 10, E: 0.0, Total_steps: 553
21:13:36,497  51, step: 10, E: 0.0, Total_steps: 563
21:13:37,231  52, step: 9, E: 0.0, Total_steps: 572
21:13:38,93  53, step: 10, E: 0.0, Total_steps: 582
21:13:38,905  54, step: 9, E: 0.0, Total_steps: 591
21:13:40,826  55, step: 8, E: 0.0, Total_steps: 599
21:13:41,603  56, step: 10, E: 0.0, Total_steps: 609
21:13:42,371  57, step: 9, E: 0.0, Total_steps: 618
21:13:43,90  58, step: 9, E: 0.0, Total_steps: 627
21:13:43,894  59, step: 9, E: 0.0, Total_steps: 636
21:13:45,948  60, step: 9, E: 0.0, Total_steps: 645
21:13:46,849  61, step: 11, E: 0.0, Total_steps: 656
21:13:47,710  62, step: 10, E: 0.0, Total_steps: 666
21:13:48,576  63, step: 10, E: 0.0, Total_steps: 676
21:13:49,428  64, step: 10, E: 0.0, Total_steps: 686
21:13:51,344  65, step: 10, E: 0.0, Total_steps: 696
21:13:52,198  66, step: 10, E: 0.0, Total_steps: 706
21:13:52,977  67, step: 9, E: 0.0, Total_steps: 715
