12:18:19,788  0, step: 14, E: 0.35714285714285715, Total_steps: 14
12:18:19,817  1, step: 11, E: 0.2727272727272727, Total_steps: 25
12:18:19,850  2, step: 14, E: 0.35714285714285715, Total_steps: 39
12:18:19,889  3, step: 19, E: 0.47368421052631576, Total_steps: 58
12:18:19,982  4, step: 42, E: 0.6190476190476191, Total_steps: 100
12:18:20,35  5, step: 21, E: 0.47619047619047616, Total_steps: 121
12:18:20,143  6, step: 25, E: 0.6, Total_steps: 146
12:18:20,192  7, step: 16, E: 0.4375, Total_steps: 162
12:18:20,226  8, step: 14, E: 0.35714285714285715, Total_steps: 176
12:18:20,266  9, step: 11, E: 0.36363636363636365, Total_steps: 187
12:18:20,398  10, step: 10, E: 0.3, Total_steps: 197
12:18:20,424  11, step: 10, E: 0.2, Total_steps: 207
12:18:20,457  12, step: 14, E: 0.5, Total_steps: 221
12:18:20,473  13, step: 13, E: 0.46153846153846156, Total_steps: 234
12:18:20,539  14, step: 13, E: 0.6153846153846154, Total_steps: 247
12:18:20,570  15, step: 18, E: 0.3888888888888889, Total_steps: 265
12:18:20,625  16, step: 24, E: 0.5833333333333334, Total_steps: 289
12:18:20,690  17, step: 14, E: 0.42857142857142855, Total_steps: 303
12:18:20,922  18, step: 16, E: 0.375, Total_steps: 319
12:18:21,298  19, step: 20, E: 0.3, Total_steps: 339
12:18:21,603  20, step: 13, E: 0.3076923076923077, Total_steps: 352
12:18:21,763  21, step: 10, E: 0.7, Total_steps: 362
12:18:22,151  22, step: 11, E: 0.2727272727272727, Total_steps: 373
12:18:22,343  23, step: 14, E: 0.21428571428571427, Total_steps: 387
12:18:22,508  24, step: 10, E: 0.0, Total_steps: 397
12:18:22,787  25, step: 18, E: 0.5, Total_steps: 415
12:18:22,999  26, step: 15, E: 0.26666666666666666, Total_steps: 430
12:18:23,174  27, step: 16, E: 0.25, Total_steps: 446
12:18:23,318  28, step: 10, E: 0.1, Total_steps: 456
12:18:23,632  29, step: 13, E: 0.15384615384615385, Total_steps: 469
12:18:23,929  30, step: 11, E: 0.18181818181818182, Total_steps: 480
12:18:24,230  31, step: 23, E: 0.34782608695652173, Total_steps: 503
12:18:24,337  32, step: 9, E: 0.0, Total_steps: 512
12:18:24,502  33, step: 13, E: 0.46153846153846156, Total_steps: 525
12:18:24,706  34, step: 11, E: 0.18181818181818182, Total_steps: 536
12:18:25,72  35, step: 25, E: 0.32, Total_steps: 561
12:18:25,231  36, step: 12, E: 0.16666666666666666, Total_steps: 573
12:18:25,363  37, step: 10, E: 0.0, Total_steps: 583
12:18:25,534  38, step: 11, E: 0.18181818181818182, Total_steps: 594
12:18:25,683  39, step: 11, E: 0.18181818181818182, Total_steps: 605
12:18:26,373  40, step: 9, E: 0.1111111111111111, Total_steps: 614
12:18:26,575  41, step: 11, E: 0.09090909090909091, Total_steps: 625
12:18:26,751  42, step: 10, E: 0.1, Total_steps: 635
12:18:26,888  43, step: 8, E: 0.0, Total_steps: 643
12:18:27,67  44, step: 13, E: 0.15384615384615385, Total_steps: 656
12:18:27,221  45, step: 10, E: 0.2, Total_steps: 666
12:18:27,366  46, step: 10, E: 0.0, Total_steps: 676
12:18:27,540  47, step: 10, E: 0.0, Total_steps: 686
12:18:27,734  48, step: 11, E: 0.0, Total_steps: 697
12:18:27,853  49, step: 8, E: 0.125, Total_steps: 705
12:18:28,136  50, step: 12, E: 0.16666666666666666, Total_steps: 717
12:18:28,353  51, step: 13, E: 0.23076923076923078, Total_steps: 730
12:18:28,563  52, step: 10, E: 0.1, Total_steps: 740
12:18:28,755  53, step: 10, E: 0.0, Total_steps: 750
12:18:28,889  54, step: 10, E: 0.0, Total_steps: 760
12:18:29,51  55, step: 10, E: 0.0, Total_steps: 770
12:18:29,261  56, step: 11, E: 0.09090909090909091, Total_steps: 781
12:18:29,442  57, step: 14, E: 0.21428571428571427, Total_steps: 795
12:18:29,848  58, step: 9, E: 0.0, Total_steps: 804
12:18:29,962  59, step: 8, E: 0.0, Total_steps: 812
