17:32:09,605  0, step: 13, E: 0.15384615384615385, Total_steps: 13
17:32:09,692  1, step: 9, E: 0.0, Total_steps: 22
17:32:09,771  2, step: 10, E: 0.1, Total_steps: 32
17:32:09,881  3, step: 11, E: 0.09090909090909091, Total_steps: 43
17:32:09,993  4, step: 11, E: 0.18181818181818182, Total_steps: 54
17:32:10,125  5, step: 13, E: 0.15384615384615385, Total_steps: 67
17:32:10,211  6, step: 9, E: 0.0, Total_steps: 76
17:32:10,358  7, step: 16, E: 0.1875, Total_steps: 92
17:32:10,477  8, step: 14, E: 0.2857142857142857, Total_steps: 106
17:32:10,634  9, step: 14, E: 0.21428571428571427, Total_steps: 120
17:32:11,752  10, step: 15, E: 0.13333333333333333, Total_steps: 135
17:32:11,826  11, step: 8, E: 0.0, Total_steps: 143
17:32:11,995  12, step: 11, E: 0.09090909090909091, Total_steps: 154
17:32:12,119  13, step: 14, E: 0.14285714285714285, Total_steps: 168
17:32:12,210  14, step: 9, E: 0.0, Total_steps: 177
17:32:12,287  15, step: 10, E: 0.0, Total_steps: 187
17:32:12,392  16, step: 13, E: 0.15384615384615385, Total_steps: 200
17:32:12,493  17, step: 10, E: 0.0, Total_steps: 210
17:32:12,563  18, step: 10, E: 0.0, Total_steps: 220
17:32:12,675  19, step: 14, E: 0.6428571428571429, Total_steps: 234
17:32:13,569  20, step: 9, E: 0.0, Total_steps: 243
17:32:13,703  21, step: 12, E: 0.08333333333333333, Total_steps: 255
17:32:13,783  22, step: 10, E: 0.0, Total_steps: 265
17:32:13,873  23, step: 10, E: 0.0, Total_steps: 275
17:32:14,48  24, step: 14, E: 0.21428571428571427, Total_steps: 289
17:32:14,126  25, step: 10, E: 0.0, Total_steps: 299
17:32:14,617  26, step: 17, E: 0.17647058823529413, Total_steps: 316
17:32:15,65  27, step: 13, E: 0.15384615384615385, Total_steps: 329
17:32:15,349  28, step: 10, E: 0.1, Total_steps: 339
17:32:15,820  29, step: 14, E: 0.21428571428571427, Total_steps: 353
17:32:17,302  30, step: 17, E: 0.23529411764705882, Total_steps: 370
17:32:17,647  31, step: 10, E: 0.0, Total_steps: 380
17:32:17,943  32, step: 9, E: 0.0, Total_steps: 389
17:32:19,11  33, step: 13, E: 0.3076923076923077, Total_steps: 402
17:32:19,461  34, step: 11, E: 0.18181818181818182, Total_steps: 413
17:32:19,794  35, step: 9, E: 0.0, Total_steps: 422
17:32:20,244  36, step: 16, E: 0.1875, Total_steps: 438
17:32:20,658  37, step: 9, E: 0.0, Total_steps: 447
17:32:20,965  38, step: 8, E: 0.0, Total_steps: 455
17:32:21,292  39, step: 9, E: 0.0, Total_steps: 464
17:32:22,535  40, step: 13, E: 0.6153846153846154, Total_steps: 477
17:32:22,962  41, step: 12, E: 0.25, Total_steps: 489
