10:44:27,145  0, step: 11, E: 0.09090909090909091, Total_steps: 11
10:44:27,153  1, step: 10, E: 0.2, Total_steps: 21
10:44:27,162  2, step: 10, E: 0.2, Total_steps: 31
10:44:27,171  3, step: 11, E: 0.18181818181818182, Total_steps: 42
10:44:27,180  4, step: 12, E: 0.16666666666666666, Total_steps: 54
10:44:27,191  5, step: 14, E: 0.35714285714285715, Total_steps: 68
10:44:27,207  6, step: 16, E: 0.25, Total_steps: 84
10:44:27,218  7, step: 10, E: 0.2, Total_steps: 94
10:44:27,232  8, step: 18, E: 0.3333333333333333, Total_steps: 112
10:44:27,246  9, step: 14, E: 0.21428571428571427, Total_steps: 126
10:44:27,254  10, step: 10, E: 0.0, Total_steps: 136
10:44:27,265  11, step: 14, E: 0.35714285714285715, Total_steps: 150
10:44:27,278  12, step: 11, E: 0.18181818181818182, Total_steps: 161
10:44:27,286  13, step: 11, E: 0.18181818181818182, Total_steps: 172
10:44:27,296  14, step: 12, E: 0.16666666666666666, Total_steps: 184
10:44:27,306  15, step: 10, E: 0.0, Total_steps: 194
10:44:27,315  16, step: 10, E: 0.2, Total_steps: 204
10:44:27,325  17, step: 12, E: 0.3333333333333333, Total_steps: 216
10:44:27,335  18, step: 12, E: 0.3333333333333333, Total_steps: 228
10:44:27,347  19, step: 13, E: 0.23076923076923078, Total_steps: 241
10:44:27,357  20, step: 12, E: 0.3333333333333333, Total_steps: 253
10:44:27,367  21, step: 11, E: 0.18181818181818182, Total_steps: 264
10:44:27,380  22, step: 15, E: 0.26666666666666666, Total_steps: 279
10:44:27,394  23, step: 14, E: 0.2857142857142857, Total_steps: 293
10:44:27,471  24, step: 8, E: 0.125, Total_steps: 301
10:44:27,655  25, step: 11, E: 0.2727272727272727, Total_steps: 312
10:44:27,875  26, step: 19, E: 0.3684210526315789, Total_steps: 331
10:44:28,23  27, step: 10, E: 0.2, Total_steps: 341
10:44:28,141  28, step: 9, E: 0.1111111111111111, Total_steps: 350
10:44:28,358  29, step: 14, E: 0.35714285714285715, Total_steps: 364
10:44:28,451  30, step: 8, E: 0.125, Total_steps: 372
10:44:28,649  31, step: 13, E: 0.15384615384615385, Total_steps: 385
10:44:28,835  32, step: 13, E: 0.3076923076923077, Total_steps: 398
10:44:29,45  33, step: 14, E: 0.2857142857142857, Total_steps: 412
10:44:29,205  34, step: 13, E: 0.3076923076923077, Total_steps: 425
10:44:29,573  35, step: 29, E: 0.27586206896551724, Total_steps: 454
10:44:29,740  36, step: 13, E: 0.38461538461538464, Total_steps: 467
