19:36:52,636  0, step: 15, E: 0.4, Total_steps: 15
19:36:53,599  1, step: 29, E: 0.3793103448275862, Total_steps: 44
19:36:54,136  2, step: 15, E: 0.4, Total_steps: 59
19:36:54,702  3, step: 17, E: 0.29411764705882354, Total_steps: 76
19:36:55,522  4, step: 24, E: 0.4166666666666667, Total_steps: 100
19:36:57,917  5, step: 46, E: 0.3695652173913043, Total_steps: 146
19:36:58,448  6, step: 16, E: 0.375, Total_steps: 162
19:36:59,924  7, step: 45, E: 0.4444444444444444, Total_steps: 207
19:37:00,344  8, step: 14, E: 0.35714285714285715, Total_steps: 221
19:37:00,735  9, step: 11, E: 0.45454545454545453, Total_steps: 232
19:37:02,572  10, step: 16, E: 0.3125, Total_steps: 248
19:37:03,523  11, step: 30, E: 0.4666666666666667, Total_steps: 278
19:37:03,891  12, step: 11, E: 0.2727272727272727, Total_steps: 289
19:37:04,679  13, step: 16, E: 0.375, Total_steps: 305
19:37:07,128  14, step: 32, E: 0.4375, Total_steps: 337
19:37:09,413  15, step: 16, E: 0.3125, Total_steps: 353
19:37:11,60  16, step: 20, E: 0.3, Total_steps: 373
19:37:11,887  17, step: 10, E: 0.2, Total_steps: 383
19:37:12,817  18, step: 12, E: 0.16666666666666666, Total_steps: 395
19:37:13,884  19, step: 13, E: 0.3076923076923077, Total_steps: 408
19:37:15,705  20, step: 13, E: 0.23076923076923078, Total_steps: 421
19:37:16,888  21, step: 13, E: 0.23076923076923078, Total_steps: 434
19:37:17,804  22, step: 11, E: 0.18181818181818182, Total_steps: 445
19:37:18,829  23, step: 12, E: 0.08333333333333333, Total_steps: 457
19:37:19,722  24, step: 11, E: 0.18181818181818182, Total_steps: 468
19:37:21,714  25, step: 12, E: 0.25, Total_steps: 480
19:37:22,529  26, step: 10, E: 0.1, Total_steps: 490
19:37:23,366  27, step: 10, E: 0.0, Total_steps: 500
19:37:24,334  28, step: 11, E: 0.09090909090909091, Total_steps: 511
19:37:25,32  29, step: 8, E: 0.0, Total_steps: 519
19:37:26,771  30, step: 10, E: 0.0, Total_steps: 529
19:37:27,521  31, step: 9, E: 0.0, Total_steps: 538
19:37:28,479  32, step: 11, E: 0.18181818181818182, Total_steps: 549
19:37:29,348  33, step: 9, E: 0.0, Total_steps: 558
19:37:30,110  34, step: 8, E: 0.0, Total_steps: 566
19:37:32,286  35, step: 10, E: 0.2, Total_steps: 576
19:37:33,127  36, step: 10, E: 0.1, Total_steps: 586
19:37:34,96  37, step: 10, E: 0.1, Total_steps: 596
19:37:35,327  38, step: 9, E: 0.2222222222222222, Total_steps: 605
19:37:36,832  39, step: 10, E: 0.1, Total_steps: 615
19:37:40,111  40, step: 10, E: 0.1, Total_steps: 625
19:37:41,485  41, step: 9, E: 0.1111111111111111, Total_steps: 634
19:37:42,828  42, step: 9, E: 0.1111111111111111, Total_steps: 643
19:37:44,298  43, step: 10, E: 0.2, Total_steps: 653
19:37:45,613  44, step: 9, E: 0.1111111111111111, Total_steps: 662
19:37:48,680  45, step: 9, E: 0.0, Total_steps: 671
19:37:50,145  46, step: 10, E: 0.1, Total_steps: 681
19:37:51,608  47, step: 10, E: 0.2, Total_steps: 691
19:37:53,219  48, step: 11, E: 0.09090909090909091, Total_steps: 702
19:37:54,681  49, step: 10, E: 0.0, Total_steps: 712
19:37:58,43  50, step: 10, E: 0.1, Total_steps: 722
19:37:59,516  51, step: 10, E: 0.1, Total_steps: 732
19:38:01,120  52, step: 11, E: 0.09090909090909091, Total_steps: 743
19:38:02,444  53, step: 9, E: 0.1111111111111111, Total_steps: 752
19:38:03,755  54, step: 9, E: 0.1111111111111111, Total_steps: 761
19:38:07,22  55, step: 10, E: 0.0, Total_steps: 771
19:38:08,355  56, step: 9, E: 0.0, Total_steps: 780
19:38:09,678  57, step: 9, E: 0.1111111111111111, Total_steps: 789
19:38:10,989  58, step: 9, E: 0.1111111111111111, Total_steps: 798
19:38:12,301  59, step: 9, E: 0.0, Total_steps: 807
19:38:15,412  60, step: 9, E: 0.2222222222222222, Total_steps: 816
19:38:16,883  61, step: 10, E: 0.1, Total_steps: 826
19:38:18,219  62, step: 9, E: 0.0, Total_steps: 835
19:38:19,553  63, step: 9, E: 0.1111111111111111, Total_steps: 844
19:38:20,750  64, step: 8, E: 0.0, Total_steps: 852
19:38:23,982  65, step: 10, E: 0.1, Total_steps: 862
19:38:25,292  66, step: 9, E: 0.0, Total_steps: 871
19:38:26,621  67, step: 9, E: 0.0, Total_steps: 880
19:38:27,971  68, step: 9, E: 0.1111111111111111, Total_steps: 889
19:38:29,496  69, step: 10, E: 0.1, Total_steps: 899
19:38:35,480  70, step: 27, E: 0.4074074074074074, Total_steps: 926
