12:57:48,902  0, step: 13, E: 0.15384615384615385, Total_steps: 13
12:57:48,977  1, step: 35, E: 0.2571428571428571, Total_steps: 48
12:57:49,19  2, step: 19, E: 0.21052631578947367, Total_steps: 67
12:57:49,48  3, step: 14, E: 0.07142857142857142, Total_steps: 81
12:57:49,82  4, step: 15, E: 0.2, Total_steps: 96
12:57:49,170  5, step: 41, E: 0.17073170731707318, Total_steps: 137
12:57:49,278  6, step: 51, E: 0.2549019607843137, Total_steps: 188
12:57:49,303  7, step: 11, E: 0.2727272727272727, Total_steps: 199
12:57:49,366  8, step: 28, E: 0.07142857142857142, Total_steps: 227
12:57:49,427  9, step: 27, E: 0.14814814814814814, Total_steps: 254
12:57:49,452  10, step: 9, E: 0.3333333333333333, Total_steps: 263
12:57:49,492  11, step: 15, E: 0.2, Total_steps: 278
12:57:49,859  12, step: 33, E: 0.24242424242424243, Total_steps: 311
12:57:50,198  13, step: 20, E: 0.2, Total_steps: 331
12:57:50,529  14, step: 14, E: 0.07142857142857142, Total_steps: 345
12:57:50,943  15, step: 19, E: 0.0, Total_steps: 364
12:57:51,282  16, step: 17, E: 0.058823529411764705, Total_steps: 381
12:57:51,493  17, step: 11, E: 0.0, Total_steps: 392
12:57:52,289  18, step: 34, E: 0.0, Total_steps: 426
12:57:52,949  19, step: 17, E: 0.11764705882352941, Total_steps: 443
12:57:55,376  20, step: 46, E: 0.043478260869565216, Total_steps: 489
12:57:56,743  21, step: 43, E: 0.023255813953488372, Total_steps: 532
12:57:57,100  22, step: 14, E: 0.07142857142857142, Total_steps: 546
12:57:57,423  23, step: 18, E: 0.1111111111111111, Total_steps: 564
12:57:57,842  24, step: 17, E: 0.0, Total_steps: 581
12:57:58,95  25, step: 12, E: 0.08333333333333333, Total_steps: 593
12:57:58,422  26, step: 12, E: 0.08333333333333333, Total_steps: 605
12:57:58,678  27, step: 12, E: 0.08333333333333333, Total_steps: 617
12:57:58,843  28, step: 10, E: 0.0, Total_steps: 627
12:57:59,437  29, step: 20, E: 0.15, Total_steps: 647
12:57:59,884  30, step: 11, E: 0.0, Total_steps: 658
12:58:00,104  31, step: 10, E: 0.0, Total_steps: 668
12:58:00,283  32, step: 9, E: 0.0, Total_steps: 677
12:58:00,738  33, step: 10, E: 0.1, Total_steps: 687
12:58:00,988  34, step: 9, E: 0.0, Total_steps: 696
12:58:01,183  35, step: 9, E: 0.0, Total_steps: 705
12:58:01,416  36, step: 9, E: 0.0, Total_steps: 714
12:58:01,698  37, step: 11, E: 0.09090909090909091, Total_steps: 725
12:58:01,998  38, step: 9, E: 0.0, Total_steps: 734
12:58:02,754  39, step: 10, E: 0.1, Total_steps: 744
12:58:03,43  40, step: 9, E: 0.0, Total_steps: 753
12:58:03,366  41, step: 8, E: 0.0, Total_steps: 761
12:58:03,620  42, step: 10, E: 0.0, Total_steps: 771
12:58:03,939  43, step: 9, E: 0.0, Total_steps: 780
12:58:04,254  44, step: 10, E: 0.0, Total_steps: 790
12:58:04,600  45, step: 10, E: 0.0, Total_steps: 800
12:58:04,934  46, step: 9, E: 0.0, Total_steps: 809
12:58:05,359  47, step: 10, E: 0.0, Total_steps: 819
12:58:05,725  48, step: 12, E: 0.08333333333333333, Total_steps: 831
12:58:06,7  49, step: 10, E: 0.0, Total_steps: 841
12:58:06,516  50, step: 12, E: 0.08333333333333333, Total_steps: 853
12:58:06,841  51, step: 10, E: 0.0, Total_steps: 863
12:58:07,126  52, step: 9, E: 0.0, Total_steps: 872
12:58:07,432  53, step: 10, E: 0.0, Total_steps: 882
12:58:07,658  54, step: 9, E: 0.0, Total_steps: 891
12:58:07,927  55, step: 10, E: 0.0, Total_steps: 901
12:58:08,152  56, step: 9, E: 0.0, Total_steps: 910
12:58:08,411  57, step: 8, E: 0.0, Total_steps: 918
12:58:08,800  58, step: 10, E: 0.0, Total_steps: 928
12:58:09,78  59, step: 10, E: 0.0, Total_steps: 938
12:58:09,329  60, step: 8, E: 0.0, Total_steps: 946
12:58:09,638  61, step: 9, E: 0.0, Total_steps: 955
12:58:09,931  62, step: 10, E: 0.0, Total_steps: 965
12:58:10,273  63, step: 8, E: 0.0, Total_steps: 973
12:58:10,654  64, step: 10, E: 0.0, Total_steps: 983
12:58:11,41  65, step: 10, E: 0.0, Total_steps: 993
12:58:11,355  66, step: 9, E: 0.0, Total_steps: 1002
12:58:11,643  67, step: 10, E: 0.0, Total_steps: 1012
12:58:11,919  68, step: 10, E: 0.0, Total_steps: 1022
12:58:12,357  69, step: 9, E: 0.0, Total_steps: 1031
12:58:12,575  70, step: 9, E: 0.0, Total_steps: 1040
12:58:12,858  71, step: 9, E: 0.0, Total_steps: 1049
12:58:13,393  72, step: 10, E: 0.0, Total_steps: 1059
12:58:13,830  73, step: 10, E: 0.0, Total_steps: 1069
12:58:14,148  74, step: 9, E: 0.0, Total_steps: 1078
12:58:14,518  75, step: 10, E: 0.0, Total_steps: 1088
12:58:15,131  76, step: 10, E: 0.0, Total_steps: 1098
12:58:15,511  77, step: 10, E: 0.0, Total_steps: 1108
12:58:15,714  78, step: 8, E: 0.0, Total_steps: 1116
