12:37:30,149  0, step: 16, E: 0.3125, Total_steps: 16
12:37:30,163  1, step: 13, E: 0.6923076923076923, Total_steps: 29
12:37:30,194  2, step: 31, E: 0.5161290322580645, Total_steps: 60
12:37:30,210  3, step: 14, E: 0.6428571428571429, Total_steps: 74
12:37:30,226  4, step: 15, E: 0.3333333333333333, Total_steps: 89
12:37:30,251  5, step: 22, E: 0.5, Total_steps: 111
12:37:30,290  6, step: 40, E: 0.425, Total_steps: 151
12:37:30,304  7, step: 14, E: 0.7142857142857143, Total_steps: 165
12:37:30,319  8, step: 16, E: 0.5625, Total_steps: 181
12:37:30,333  9, step: 15, E: 0.4, Total_steps: 196
12:37:30,344  10, step: 11, E: 0.7272727272727273, Total_steps: 207
12:37:30,360  11, step: 16, E: 0.4375, Total_steps: 223
12:37:30,371  12, step: 11, E: 0.18181818181818182, Total_steps: 234
12:37:30,393  13, step: 22, E: 0.6818181818181818, Total_steps: 256
12:37:30,413  14, step: 18, E: 0.3888888888888889, Total_steps: 274
12:37:31,480  15, step: 48, E: 0.5208333333333334, Total_steps: 322
12:37:31,972  16, step: 11, E: 0.18181818181818182, Total_steps: 333
12:37:33,63  17, step: 25, E: 0.4, Total_steps: 358
12:37:33,800  18, step: 17, E: 0.23529411764705882, Total_steps: 375
12:37:34,449  19, step: 16, E: 0.3125, Total_steps: 391
12:37:35,2  20, step: 12, E: 0.16666666666666666, Total_steps: 403
12:37:35,414  21, step: 10, E: 0.0, Total_steps: 413
12:37:35,927  22, step: 11, E: 0.09090909090909091, Total_steps: 424
12:37:36,342  23, step: 10, E: 0.1, Total_steps: 434
12:37:36,727  24, step: 9, E: 0.0, Total_steps: 443
12:37:37,445  25, step: 15, E: 0.2, Total_steps: 458
12:37:37,915  26, step: 10, E: 0.0, Total_steps: 468
12:37:38,369  27, step: 9, E: 0.0, Total_steps: 477
12:37:38,889  28, step: 10, E: 0.0, Total_steps: 487
12:37:39,313  29, step: 9, E: 0.0, Total_steps: 496
12:37:39,783  30, step: 10, E: 0.0, Total_steps: 506
12:37:40,183  31, step: 9, E: 0.0, Total_steps: 515
12:37:40,622  32, step: 10, E: 0.0, Total_steps: 525
12:37:41,120  33, step: 11, E: 0.0, Total_steps: 536
12:37:41,527  34, step: 10, E: 0.0, Total_steps: 546
12:37:42,20  35, step: 11, E: 0.09090909090909091, Total_steps: 557
12:37:42,430  36, step: 9, E: 0.0, Total_steps: 566
12:37:42,860  37, step: 10, E: 0.0, Total_steps: 576
12:37:43,297  38, step: 10, E: 0.0, Total_steps: 586
12:37:43,758  39, step: 10, E: 0.0, Total_steps: 596
12:37:44,147  40, step: 9, E: 0.0, Total_steps: 605
12:37:44,535  41, step: 9, E: 0.0, Total_steps: 614
12:37:45,4  42, step: 11, E: 0.0, Total_steps: 625
12:37:45,434  43, step: 10, E: 0.0, Total_steps: 635
12:37:45,841  44, step: 10, E: 0.0, Total_steps: 645
12:37:46,204  45, step: 8, E: 0.0, Total_steps: 653
12:37:46,575  46, step: 9, E: 0.0, Total_steps: 662
12:37:47,6  47, step: 10, E: 0.0, Total_steps: 672
12:37:47,446  48, step: 10, E: 0.0, Total_steps: 682
12:37:47,842  49, step: 9, E: 0.0, Total_steps: 691
12:37:48,222  50, step: 8, E: 0.0, Total_steps: 699
12:37:48,588  51, step: 9, E: 0.0, Total_steps: 708
12:37:48,968  52, step: 9, E: 0.0, Total_steps: 717
12:37:49,426  53, step: 10, E: 0.0, Total_steps: 727
12:37:49,851  54, step: 10, E: 0.0, Total_steps: 737
12:37:50,272  55, step: 9, E: 0.0, Total_steps: 746
12:37:50,674  56, step: 9, E: 0.0, Total_steps: 755
12:37:51,81  57, step: 9, E: 0.0, Total_steps: 764
12:37:51,518  58, step: 9, E: 0.0, Total_steps: 773
12:37:51,911  59, step: 9, E: 0.0, Total_steps: 782
12:37:52,328  60, step: 9, E: 0.0, Total_steps: 791
12:37:52,818  61, step: 10, E: 0.0, Total_steps: 801
12:37:53,232  62, step: 9, E: 0.0, Total_steps: 810
12:37:53,602  63, step: 8, E: 0.0, Total_steps: 818
12:37:54,6  64, step: 9, E: 0.0, Total_steps: 827
12:37:54,496  65, step: 9, E: 0.0, Total_steps: 836
12:37:54,856  66, step: 8, E: 0.0, Total_steps: 844
12:37:55,352  67, step: 10, E: 0.0, Total_steps: 854
12:37:55,751  68, step: 9, E: 0.0, Total_steps: 863
12:37:56,232  69, step: 11, E: 0.0, Total_steps: 874
12:37:56,641  70, step: 9, E: 0.0, Total_steps: 883
12:37:57,130  71, step: 10, E: 0.0, Total_steps: 893
12:37:57,528  72, step: 9, E: 0.0, Total_steps: 902
12:37:57,972  73, step: 10, E: 0.0, Total_steps: 912
12:37:58,413  74, step: 10, E: 0.0, Total_steps: 922
12:37:58,924  75, step: 11, E: 0.0, Total_steps: 933
